lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation
84-277,84-279,25.0,45.0,12.289904606593277,19.5770060964369,64.5770060964369,64.5770060964369,0.485,SfccfF
84-277,LA4936,25.0,30.1,11.246856513909039,16.041069106500437,46.14106910650044,46.14106910650044,0.4455,SfccfF
LA4002,84-278,25.0,30.0,11.569523926575926,16.01260705178889,46.01260705178889,46.01260705178889,0.4325,SfccfF
LA4002,LA4936,25.0,30.1,11.599319860140314,15.871314708407532,45.97131470840753,45.97131470840753,0.432,SfccfF
84-277,84-278,25.0,30.0,11.193643054760269,16.086714244678852,46.08671424467885,46.08671424467885,0.4285,SfccfF
84-277,LA4003,25.0,35.0,11.641599645497942,16.407845161183047,51.40784516118305,51.40784516118305,0.4245,SfccfF
LA4002,LA4130,25.0,40.1,12.467636242174637,16.6788255838831,56.778825583883105,56.778825583883105,0.4245,SfccfF
36-686,84-279,27.0,45.0,12.812226165816446,19.723937315619857,64.72393731561985,64.72393731561985,0.4235,SfccfF
LA4002,84-279,25.0,45.0,12.863041469691794,17.064655386598346,62.064655386598346,62.064655386598346,0.4125,SfccfF
84-277,LA4765,25.0,50.2,12.579656535540124,17.337015864806574,67.53701586480658,67.53701586480658,0.3995,SfccfF
LA4002,LA4003,25.0,35.0,12.136324781696642,16.372211731532392,51.37221173153239,51.37221173153239,0.396,SfccfF
LA4002,LA4042,25.0,60.0,13.327832530639867,17.548668709907055,77.54866870990705,77.54866870990705,0.39,SfccfF
84-277,84-280,25.0,60.0,12.927299394137746,17.684562163111607,77.68456216311161,77.68456216311161,0.388,SfccfF
LA4002,LA4765,25.0,50.2,12.925687989437208,21.552111576042954,71.75211157604295,71.75211157604295,0.3875,SfccfF
36-686,84-278,27.0,30.0,11.509280602038213,17.512346428264483,47.51234642826448,47.51234642826448,0.387,SfccfF
36-686,LA4936,27.0,30.1,11.526073153727578,17.532717580221696,47.632717580221694,47.632717580221694,0.385,SfccfF
36-686,84-280,27.0,60.0,13.49438018002268,19.616105451445772,79.61610545144578,79.61610545144578,0.3805,SfccfF
36-686,LA4003,27.0,35.0,12.006977710877987,18.39186382138631,53.39186382138631,53.39186382138631,0.375,SfccfF
LA4002,84-280,25.0,60.0,13.348655853399693,17.554283849463854,77.55428384946386,77.55428384946386,0.3715,SfccfF
48-024,LA4936,25.0,30.1,11.282722690196232,20.005157925385575,50.105157925385576,50.105157925385576,0.356,SfccfF
48-024,84-278,25.0,30.0,10.905762728184936,29.757734119918183,59.75773411991818,59.75773411991818,0.351,SfccfF
