lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
36-686,48-273,27.0,38.0,12.49067818361088,40.686430260121206,77.73790803043016,77.73790803043016,0.3002423779957095,SfccfF,optimized
36-686,36-687,27.0,36.0,12.49067818361088,40.06804425078812,73.98713681504756,73.98713681504756,0.27756247905047793,SfccfF,optimized
36-686,49-960,27.0,35.0,12.49067818361088,39.75885124612158,72.60379109071728,72.60379109071728,0.2716955954951059,SfccfF,optimized
36-686,LA4052,27.0,35.1,12.49067818361088,39.78977054658823,73.71719403097366,73.71719403097366,0.2700193601473001,SfccfF,optimized
LA4021,36-687,30.0,36.0,10.514103603961976,37.90810206164295,73.55650708684446,73.55650708684446,0.2650881471865594,SfccfF,optimized
LA4021,36-689,30.0,35.0,10.514103603961976,37.645714731513756,73.13400139193989,73.13400139193989,0.2611312295240495,SfccfF,optimized
36-686,36-689,27.0,35.0,12.49067818361088,39.75885124612158,73.65040586161305,73.65040586161305,0.25376157919580766,SfccfF,optimized
LA4021,49-960,30.0,35.0,10.514103603961976,37.645714731513756,72.09280712482841,72.09280712482841,0.2506372908201744,SfccfF,optimized
LA4021,LA4052,30.0,35.1,10.514103603961976,37.67195346452667,73.20984802351028,73.20984802351028,0.24852722066100053,SfccfF,optimized
49-959,36-687,30.0,36.0,12.898407139008574,42.85078129278702,78.90809309555176,78.90809309555176,0.2465126521916332,SfccfF,optimized
49-959,49-960,30.0,35.0,12.898407139008574,42.541588288120465,77.37017619238046,77.37017619238046,0.2332280900734128,SfccfF,optimized
49-959,48-273,30.0,38.0,14.74319867264451,45.21779984464828,80.46714310959624,80.46714310959624,0.2261948886820933,SfccfF,optimized
49-959,36-689,30.0,35.0,14.74319867264451,44.24146713522501,76.65616969019788,76.65616969019788,0.22594486931546479,SfccfF,optimized
LA4021,48-273,30.0,38.0,11.691328739656639,49.04353394795517,84.73881448949254,84.73881448949254,0.22313985813528947,SfccfF,optimized
49-959,LA4052,30.0,35.1,14.74319867264451,44.274011558872445,76.7139044092741,76.7139044092741,0.18940904244074755,SfccfF,optimized
36-686,49-959,27.0,30.0,12.49067818361088,38.21288622278885,65.6711660267709,65.6711660267709,0.18891084524414692,SfccfF,optimized
