lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
36-686,36-687,27.0,36.0,12.226183420866759,18.685713501397704,54.68563214243256,54.68563214243256,0.42052625279329303,SfccfF,optimized
36-686,48-273,27.0,38.0,12.577075181213788,19.3346528316887,57.317820992407775,57.317820992407775,0.4185354825627368,SfccfF,optimized
36-686,36-687,27.0,36.0,12.240202491501549,18.241168636994963,54.22248204643124,54.22248204643124,0.40548415493655116,SfccfF,optimized
36-686,48-273,27.0,38.0,12.596198846981771,18.600890922101268,56.554020988079195,56.554020988079195,0.404552610005199,SfccfF,optimized
36-686,36-687,27.0,36.0,12.230166159048895,18.494398146055406,54.49435536203697,54.49435536203697,0.40173467184140027,SfccfF,optimized
36-686,49-960,27.0,35.0,12.197569267942502,18.420477861402944,53.30896994998546,53.30896994998546,0.4008136202617615,SfccfF,optimized
36-686,48-273,27.0,38.0,12.742128589088749,21.212921454340403,58.449985315589636,58.449985315589636,0.39829762192436413,SfccfF,optimized
36-686,36-687,27.0,36.0,12.246249314429138,18.247125616871713,54.20452874079789,54.20452874079789,0.39574703709133346,SfccfF,optimized
36-686,48-273,27.0,38.0,12.496029859028285,23.942536789857474,61.94190535122405,61.94190535122405,0.3905133640282984,SfccfF,optimized
36-686,49-960,27.0,35.0,12.277672798371555,18.284639313035758,52.89651372119675,52.89651372119675,0.38306784093279506,SfccfF,optimized
36-686,LA4052,27.0,35.1,12.457245088233037,18.479409147254753,53.57114988470861,53.57114988470861,0.377156949407473,SfccfF,optimized
36-686,LA4052,27.0,35.1,12.474823133795542,18.555472826766938,53.58326741188809,53.58326741188809,0.37421917945552247,SfccfF,optimized
36-686,36-689,27.0,35.0,12.480137389189462,18.631606173551397,53.592533021429226,53.592533021429226,0.36837667132500906,SfccfF,optimized
36-686,36-689,27.0,35.0,12.47667553376818,18.481412376497644,53.462617838023164,53.462617838023164,0.3642261181869895,SfccfF,optimized
36-686,49-960,27.0,35.0,12.222966052666145,18.22331207123033,53.03519614039165,53.03519614039165,0.3629434150289335,SfccfF,optimized
36-686,LA4052,27.0,35.1,12.45428339049809,18.509151000776928,53.60915685243825,53.60915685243825,0.36134774432543865,SfccfF,optimized
36-686,36-689,27.0,35.0,12.492680897580023,18.492738192430174,53.419884296678525,53.419884296678525,0.3608511131478742,SfccfF,optimized
LA4021,48-273,30.0,38.0,11.30095594439343,22.301354977602053,60.23681100519028,60.23681100519028,0.3602968558876629,SfccfF,optimized
LA4021,48-273,30.0,38.0,11.276723025224463,22.74791447504773,60.733180760334626,60.733180760334626,0.35755220888784095,SfccfF,optimized
49-959,48-273,30.0,38.0,14.123673879882821,20.623729989466945,58.492035660063046,58.492035660063046,0.35327329550711,SfccfF,optimized
36-686,LA4052,27.0,35.1,12.41390183741991,20.77101398223947,55.86938912120503,55.86938912120503,0.3528225754005443,SfccfF,optimized
49-959,48-273,30.0,38.0,14.0938832991039,20.662731146092284,58.62640111288904,58.62640111288904,0.349846663110757,SfccfF,optimized
