z_l1,z_l2,z_fiber,coupling,fiber_position_method,lens1,lens2,f1_mm,f2_mm,total_len_mm,orientation
14.1125,22.329166666666666,60.12594909905096,0.3486091723611372,optimized,49-959,48-273,30.0,38.0,34.12594909905096,SfccfF
13.55,22.141666666666666,56.65522427548927,0.3190697168901958,optimized,36-686,48-273,27.0,38.0,30.655224275489267,SfccfF
14.1125,21.48333333333333,56.02249056844346,0.3057316761570313,optimized,49-959,LA4052,30.0,35.1,30.02249056844346,SfccfF
14.1125,21.454166666666666,55.95335622979425,0.3037206046986664,optimized,49-959,36-689,30.0,35.0,29.953356229794252,SfccfF
11.170833333333333,27.700000000000003,62.39857153195163,0.3034848502728643,optimized,LA4021,36-687,30.0,36.0,36.39857153195163,SfccfF
13.55,21.29583333333333,53.13446260340165,0.2998843526476861,optimized,36-686,LA4052,27.0,35.1,27.13446260340165,SfccfF
11.170833333333333,27.2,60.78223661296838,0.2955060503760333,optimized,LA4021,49-960,30.0,35.0,34.78223661296838,SfccfF
14.1125,21.74583333333333,56.30419435042724,0.2929651050001134,optimized,49-959,36-687,30.0,36.0,30.304194350427238,SfccfF
14.1125,21.454166666666666,54.89783740879132,0.2909949716666959,optimized,49-959,49-960,30.0,35.0,28.897837408791318,SfccfF
13.55,21.266666666666666,53.08665570402785,0.2888207308056065,optimized,36-686,36-689,27.0,35.0,27.086655704027848,SfccfF
11.625,45.075,80.78512029727294,0.2513948214330457,optimized,36-686,36-687,27.0,36.0,54.78512029727294,SfccfF
11.170833333333333,54.03333333333333,90.56563973308688,0.2285088491675165,optimized,LA4021,48-273,30.0,38.0,64.56563973308688,SfccfF
12.266666666666666,50.53333333333333,83.39411628224495,0.2165575956142128,optimized,36-686,49-960,27.0,35.0,57.39411628224495,SfccfF
11.170833333333333,50.650000000000006,84.23393985038612,0.2041214294430234,optimized,LA4021,LA4052,30.0,35.1,58.23393985038612,SfccfF
11.170833333333333,50.53333333333333,84.0859256592556,0.1968725593838086,optimized,LA4021,36-689,30.0,35.0,58.085925659255594,SfccfF
10.983333333333333,44.7,74.11836792676051,0.1698799385848111,optimized,36-686,49-959,27.0,30.0,48.11836792676051,SfccfF
15.475,39.83333333333333,69.39753719341901,0.1556132654435235,optimized,36-686,49-959,27.0,30.0,43.39753719341901,ScffcF
15.475,32.33333333333333,66.43991133167093,0.154494288667115,optimized,36-686,49-960,27.0,35.0,40.43991133167093,ScffcF
14.833333333333332,44.83333333333333,80.78030211196446,0.1492026740011047,optimized,36-686,36-687,27.0,36.0,54.78030211196446,ScffcF
14.833333333333332,102.33333333333331,138.1476198771584,0.1362449385325884,optimized,36-686,36-689,27.0,35.0,112.1476198771584,ScffcF
18.525,44.85,79.94768434731198,0.1352843993938974,optimized,49-959,LA4052,30.0,35.1,53.94768434731198,ScffcF
16.318749999999998,62.25,97.25218513949464,0.1333437517187065,optimized,LA4021,49-960,30.0,35.0,71.25218513949464,ScffcF
15.475,103.5,141.44603372203238,0.1311701600070067,optimized,36-686,48-273,27.0,38.0,115.44603372203238,ScffcF
16.318749999999998,57.58333333333333,93.54505122388768,0.1307422408342276,optimized,LA4021,36-687,30.0,36.0,67.54505122388768,ScffcF
16.318749999999998,56.41666666666667,91.53755181506077,0.1295624220466251,optimized,49-959,49-960,30.0,35.0,65.53755181506077,ScffcF
16.318749999999998,57.58333333333333,93.37123763110544,0.129058506882788,optimized,49-959,36-687,30.0,36.0,67.37123763110544,ScffcF
18.525,62.3,97.50504877290672,0.128902449033772,optimized,49-959,36-689,30.0,35.0,71.50504877290672,ScffcF
16.318749999999998,72.58333333333333,112.84454638126442,0.1278894758902598,optimized,LA4021,48-273,30.0,38.0,86.84454638126442,ScffcF
18.525,68.13333333333334,103.4138443197072,0.1277829222219388,optimized,LA4021,36-689,30.0,35.0,77.4138443197072,ScffcF
14.833333333333332,102.58333333333331,137.95973531132026,0.1259162537993127,optimized,36-686,LA4052,27.0,35.1,111.95973531132026,ScffcF
18.525,47.25,84.15526517284174,0.1247463759468226,optimized,49-959,48-273,30.0,38.0,58.15526517284174,ScffcF
18.525,62.41666666666667,97.53931168691292,0.1246183553131324,optimized,LA4021,LA4052,30.0,35.1,71.53931168691292,ScffcF
