lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
36-686,48-273,27.0,38.0,12.49067818361088,40.686430260121206,78.6864302601212,78.6864302601212,0.3935,SfccfF,focal_length
LA4021,36-687,30.0,36.0,10.514103603961976,37.90810206164295,73.90810206164295,73.90810206164295,0.3505,SfccfF,focal_length
36-686,36-687,27.0,36.0,12.49067818361088,40.06804425078812,76.06804425078812,76.06804425078812,0.341,SfccfF,focal_length
36-686,LA4052,27.0,35.1,12.49067818361088,39.78977054658823,74.88977054658824,74.88977054658824,0.328,SfccfF,focal_length
36-686,49-960,27.0,35.0,12.49067818361088,39.75885124612158,74.75885124612158,74.75885124612158,0.3275,SfccfF,focal_length
36-686,36-689,27.0,35.0,12.49067818361088,39.75885124612158,74.75885124612158,74.75885124612158,0.326,SfccfF,focal_length
LA4021,49-960,30.0,35.0,10.514103603961976,37.645714731513756,72.64571473151375,72.64571473151375,0.3245,SfccfF,focal_length
49-959,48-273,30.0,38.0,14.74319867264451,45.21779984464828,83.21779984464828,83.21779984464828,0.311,SfccfF,focal_length
49-959,36-687,30.0,36.0,12.898407139008574,42.85078129278702,79.23405502873607,79.23405502873607,0.294,SfccfF,optimized
LA4021,48-273,30.0,38.0,11.691328739656639,49.04353394795517,87.04353394795517,87.04353394795517,0.287,SfccfF,focal_length
49-959,49-960,30.0,35.0,12.898407139008574,42.541588288120465,77.54158828812047,77.54158828812047,0.276,SfccfF,focal_length
LA4021,36-689,30.0,35.0,11.691328739656639,47.96053578955494,82.96053578955494,82.96053578955494,0.2595,SfccfF,focal_length
49-959,LA4052,30.0,35.1,14.74319867264451,44.274011558872445,79.37401155887244,79.37401155887244,0.258,SfccfF,focal_length
LA4021,LA4052,30.0,35.1,11.691328739656639,47.99663572816827,83.09663572816828,83.09663572816828,0.2415,SfccfF,focal_length
49-959,36-689,30.0,35.0,14.74319867264451,44.24146713522501,79.24146713522501,79.24146713522501,0.2345,SfccfF,focal_length
36-686,49-959,27.0,30.0,12.49067818361088,38.21288622278885,68.21288622278885,68.21288622278885,0.222,SfccfF,focal_length
