lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
36-686,48-273,27.0,38.0,12.591992522692722,18.600135408954685,56.600135408954685,56.600135408954685,0.49,SfccfF,focal_length
36-686,36-687,27.0,36.0,12.32538520139235,18.329032127242726,54.329032127242726,54.329032127242726,0.4735,SfccfF,focal_length
36-686,49-960,27.0,35.0,12.212997751389647,18.21405221441568,53.21405221441568,53.21405221441568,0.464,SfccfF,focal_length
36-686,36-689,27.0,35.0,12.4812589678223,18.486854895173067,53.48685489517307,53.48685489517307,0.4345,SfccfF,focal_length
36-686,LA4052,27.0,35.1,12.454305642974202,18.45867423549901,53.55867423549901,53.55867423549901,0.431,SfccfF,focal_length
LA4021,48-273,30.0,38.0,11.288334658741991,22.28870093286024,60.28870093286024,60.28870093286024,0.4275,SfccfF,focal_length
49-959,48-273,30.0,38.0,14.084525786481482,20.584771600522522,58.58477160052252,58.58477160052252,0.4255,SfccfF,focal_length
49-959,36-687,30.0,36.0,13.686902825513457,20.195676491562576,56.19567649156258,56.19567649156258,0.4245,SfccfF,focal_length
LA4021,36-687,30.0,36.0,10.866632666656573,21.869332199375915,57.86933219937592,57.86933219937592,0.403,SfccfF,focal_length
49-959,49-960,30.0,35.0,13.58812543659018,20.095826614920284,55.095826614920284,55.095826614920284,0.3995,SfccfF,focal_length
LA4021,49-960,30.0,35.0,10.784702495236246,21.78947639214532,56.78947639214532,56.78947639214532,0.399,SfccfF,focal_length
49-959,36-689,30.0,35.0,14.053578483877349,20.555847882165345,55.555847882165345,55.555847882165345,0.384,SfccfF,focal_length
LA4021,36-689,30.0,35.0,11.128173201639157,22.69541515159581,57.69541515159581,57.69541515159581,0.371,SfccfF,focal_length
LA4021,LA4052,30.0,35.1,11.106953610356952,22.7125186399658,57.8125186399658,57.8125186399658,0.3695,SfccfF,focal_length
49-959,LA4052,30.0,35.1,13.938955851680513,20.43929350586081,55.53929350586081,55.53929350586081,0.3645,SfccfF,focal_length
36-686,49-959,27.0,30.0,11.726467408867084,17.726934140447913,47.72693414044791,47.72693414044791,0.353,SfccfF,focal_length
