lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
LA4148,48-670,50.2,60.0,27.06390767318767,33.36391148948215,93.15735934705297,93.15735934705297,0.29756,SfccfF,optimized
84-282,84-283,50.0,60.0,27.00020909836389,34.889694099751466,92.88843687824064,92.88843687824064,0.29734499999999997,SfccfF,optimized
84-282,48-670,50.0,60.0,27.080037398008663,35.13845478711511,92.39699727703614,92.39699727703614,0.296485,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.0,35.837500000000006,95.85601976428651,95.85601976428651,0.29584,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.00520216551615,33.3143493107223,93.28826933733964,93.28826933733964,0.295195,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.05757385243232,33.38192670190986,93.37838603811012,93.37838603811012,0.29498,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.083674619836003,33.74779851424947,93.74779851424947,93.74779851424947,0.29455000000000003,SfccfF,focal_length
LA4148,84-283,50.2,60.0,27.195432443989926,33.495560514058226,93.4353816293544,93.4353816293544,0.294335,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.059963196306263,33.375932735024335,93.37593273502434,93.37593273502434,0.29412,SfccfF,focal_length
84-282,LA4022,50.0,60.0,27.01629974845769,34.71727820808384,92.34172002177391,92.34172002177391,0.29369,SfccfF,optimized
84-282,LA4022,50.0,60.0,27.001552644919535,34.515545560324625,92.17748649698672,92.17748649698672,0.29326,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.0,35.837500000000006,95.65855971549234,95.65855971549234,0.29283000000000003,SfccfF,optimized
84-282,84-283,50.0,60.0,27.00558612365439,34.521848543112284,92.52418765531091,92.52418765531091,0.292615,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.172581241443545,33.494307593913234,93.49430759391323,93.49430759391323,0.29111000000000004,SfccfF,focal_length
84-282,48-670,50.0,60.0,27.0,35.837500000000006,93.29110235402871,93.29110235402871,0.290895,SfccfF,optimized
84-282,84-283,50.0,60.0,27.001370049776597,34.516783383145246,92.52769687759975,92.52769687759975,0.29068,SfccfF,optimized
84-282,48-670,50.0,60.0,27.001370049776597,34.516783383145246,91.99109834837203,91.99109834837203,0.290465,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.201361024352238,42.00555900731724,117.30555900731724,117.30555900731724,0.29025,SfccfF,focal_length
LA4148,84-283,50.2,60.0,27.1752292309677,33.51201288167293,93.51201288167293,93.51201288167293,0.290035,SfccfF,focal_length
LA4148,84-283,50.2,60.0,27.173762611039734,33.56726210368208,93.56173548443363,93.56173548443363,0.28896,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.0,44.575,104.39004615237413,104.39004615237413,0.28853,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.000764917973562,33.41992854537149,93.41992854537149,93.41992854537149,0.287885,SfccfF,focal_length
LA4148,48-670,50.2,60.0,27.001277579694563,33.30635278533829,93.29446926178345,93.29446926178345,0.28745499999999996,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.0,60.00625,135.017047560326,135.017047560326,0.28681,SfccfF,optimized
84-282,LA4022,50.0,60.0,27.000019177692543,34.507157688458804,92.22932291784622,92.22932291784622,0.28595000000000004,SfccfF,optimized
84-282,48-275,50.0,75.0,27.30194430012445,34.82733217561684,109.82733217561685,109.82733217561685,0.28573499999999996,SfccfF,focal_length
84-282,48-670,50.0,60.0,27.0006010407111,34.50964949143777,92.00207896136712,92.00207896136712,0.28552,SfccfF,optimized
48-274,LA4725,50.0,75.3,28.04973292870707,34.761242491510686,110.02335878815703,110.02335878815703,0.28509,SfccfF,optimized
84-282,LA4078,50.0,75.3,27.0,127.39999999999999,202.7,202.7,0.28466,SfccfF,focal_length
84-282,48-670,50.0,60.0,27.021228678374065,34.92505319386383,92.34653371112337,92.34653371112337,0.28423,SfccfF,optimized
48-274,LA4725,50.0,75.3,27.902798235894352,44.35433113064659,119.6543311306466,119.6543311306466,0.28423,SfccfF,focal_length
84-282,67-223,50.0,75.0,27.0,114.5,189.3832035940181,189.3832035940181,0.283585,SfccfF,optimized
84-282,67-223,50.0,75.0,27.9619740569676,35.496660454704326,110.49666045470433,110.49666045470433,0.28337,SfccfF,focal_length
84-282,LA4022,50.0,60.0,27.037055823835544,34.53706720442336,92.11140004841268,92.11140004841268,0.283155,SfccfF,optimized
84-282,48-275,50.0,75.0,27.29914769946292,34.83798224997719,109.88447517424255,109.88447517424255,0.28294,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.41692742097996,34.917077279210865,109.69762794280507,109.69762794280507,0.282725,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.066740351682625,33.366818765543385,93.36681876554339,93.36681876554339,0.28251,SfccfF,focal_length
84-282,48-275,50.0,75.0,27.559726593557528,35.059747452057366,108.89968097973653,108.89968097973653,0.28251,SfccfF,optimized
LA4148,LA4725,50.2,75.3,28.183898300783415,34.5048026441315,109.79662902450735,109.79662902450735,0.28229499999999996,SfccfF,optimized
