lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
LA4148,48-670,50.2,60.0,27.06390767318767,33.36391148948215,93.15735934705296,67.15735934705296,0.29756,SfccfF,optimized
84-282,48-670,50.0,60.0,27.080037398008663,35.13845478711511,92.39699727703614,66.39699727703614,0.296485,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.172581241443545,33.494307593913234,93.49430759391323,67.49430759391323,0.29111,SfccfF,focal_length
48-274,LA4725,50.0,75.3,27.902798235894352,44.35433113064659,119.6543311306466,93.6543311306466,0.28423,SfccfF,focal_length
84-282,LA4022,50.0,60.0,27.037055823835544,34.53706720442336,92.11140004841268,66.11140004841268,0.283155,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.41692742097996,34.917077279210865,109.69762794280508,83.69762794280508,0.282725,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.066740351682625,33.366818765543385,93.3668187655434,67.3668187655434,0.28251,SfccfF,focal_length
84-282,48-275,50.0,75.0,27.559726593557528,35.059747452057366,108.89968097973652,82.89968097973652,0.28251,SfccfF,optimized
84-282,84-283,50.0,60.0,27.016453467359757,34.51653880751109,92.51624340034502,66.51624340034502,0.2805749999999999,SfccfF,optimized
84-282,LA4078,50.0,75.3,28.15995540554105,35.659970036863,110.8075620915388,84.8075620915388,0.279715,SfccfF,optimized
LA4148,LA4725,50.2,75.3,28.18431582500997,35.80300779329818,111.00854554717397,85.00854554717397,0.276705,SfccfF,optimized
LA4148,48-275,50.2,75.0,28.24373153044649,34.601939588428806,109.3288273007598,83.3288273007598,0.27606,SfccfF,optimized
84-282,67-223,50.0,75.0,27.995145445149653,35.4952386817291,110.37983917184576,84.37983917184576,0.2754149999999999,SfccfF,optimized
LA4148,LA4078,50.2,75.3,29.019801055029056,35.32015019977785,110.50224508177462,84.50224508177462,0.2754149999999999,SfccfF,optimized
LA4148,67-223,50.2,75.0,28.84667859399091,35.146679029548,110.146679029548,84.146679029548,0.27047,SfccfF,focal_length
48-274,LA4464,50.0,60.2,28.933225584071856,37.46033173931639,97.6603317393164,71.6603317393164,0.26961,SfccfF,focal_length
84-282,LA4464,50.0,60.2,28.197043728316658,35.69711264193665,95.89711264193664,69.89711264193664,0.26402,SfccfF,focal_length
84-283,LA4078,60.0,75.3,35.313407959868215,41.81354859225827,117.10374733443513,91.10374733443513,0.25972,SfccfF,optimized
LA4148,LA4464,50.2,60.2,29.130645285734325,35.913473175691394,96.1134731756914,70.1134731756914,0.257785,SfccfF,focal_length
LA4464,84-284,60.2,90.0,27.015461836527265,47.31550609760029,135.57852999257634,109.57852999257634,0.256925,SfccfF,optimized
84-282,84-284,50.0,90.0,28.123103827238083,37.00755994866284,127.00755994866284,101.00755994866284,0.25628,SfccfF,focal_length
LA4464,67-223,60.2,75.0,27.09601028242639,47.39610819992491,120.45640171007992,94.45640171007992,0.25542,SfccfF,optimized
LA4022,LA4725,60.0,75.3,34.76416825510546,40.36462063688283,115.66462063688284,89.66462063688284,0.25284,SfccfF,focal_length
LA4464,LA4078,60.2,75.3,27.118054896004097,47.418161151535536,121.29066278863807,95.29066278863807,0.252625,SfccfF,optimized
LA4022,67-223,60.0,75.0,35.68779536349757,41.28795234038682,116.28795234038682,90.28795234038682,0.251765,SfccfF,focal_length
84-283,LA4022,60.0,60.0,32.59856498701512,39.677407182338136,99.67740718233811,73.67740718233811,0.2485399999999999,SfccfF,focal_length
LA4464,67-224,60.2,100.0,27.50124309062589,47.801340377118805,147.52814187200363,121.52814187200363,0.2481099999999999,SfccfF,optimized
84-283,67-223,60.0,75.0,35.277486341348634,41.77788507289792,116.28938574575116,90.28938574575116,0.2455299999999999,SfccfF,optimized
LA4022,LA4022,60.0,60.0,33.232531611252966,38.836536131284966,98.83653613128496,72.83653613128496,0.23994,SfccfF,focal_length
84-282,LA4545,50.0,100.0,29.00174561012177,36.53223051501391,135.5404960722642,109.5404960722642,0.23091,SfccfF,optimized
