z_l1,z_l2,z_fiber,coupling,fiber_position_method,lens1,lens2,f1_mm,f2_mm,total_len_mm,orientation
27.0,35.837500000000006,95.85601976428651,0.29584,optimized,LA4148,LA4022,50.2,60.0,69.85601976428651,SfccfF
27.0,35.837500000000006,95.65855971549234,0.29283,optimized,LA4148,48-670,50.2,60.0,69.65855971549234,SfccfF
27.0,35.837500000000006,93.29110235402872,0.290895,optimized,84-282,48-670,50.0,60.0,67.29110235402872,SfccfF
27.0,44.575,104.39004615237413,0.28853,optimized,LA4148,84-283,50.2,60.0,78.39004615237413,SfccfF
27.0,60.00625,135.017047560326,0.28681,optimized,84-282,LA4725,50.0,75.3,109.017047560326,SfccfF
27.0,127.4,202.7,0.28466,focal_length,84-282,LA4078,50.0,75.3,176.7,SfccfF
27.0,114.5,189.3832035940181,0.283585,optimized,84-282,67-223,50.0,75.0,163.3832035940181,SfccfF
29.012500000000003,114.85000000000002,187.78913267325316,0.2822949999999999,optimized,LA4148,LA4078,50.2,75.3,161.78913267325316,SfccfF
27.0,35.837500000000006,94.13506918966542,0.27993,optimized,84-282,84-283,50.0,60.0,68.13506918966542,SfccfF
27.0,35.837500000000006,94.05968147152277,0.27133,optimized,84-282,LA4022,50.0,60.0,68.05968147152277,SfccfF
27.0,132.0,221.75155826864267,0.27133,optimized,84-282,84-284,50.0,90.0,195.75155826864267,SfccfF
27.0,49.0375,123.18995099117843,0.263805,optimized,LA4464,LA4078,60.2,75.3,97.18995099117843,SfccfF
27.0,227.0,326.7325087320741,0.263375,optimized,84-282,LA4545,50.0,100.0,300.7325087320741,SfccfF
27.0,53.325,141.37032245569216,0.2627299999999999,optimized,LA4464,84-284,60.2,90.0,115.37032245569216,SfccfF
27.0,64.5,139.5,0.261225,focal_length,84-282,48-275,50.0,75.0,113.5,SfccfF
27.0,64.5,137.3222991417051,0.260795,optimized,LA4464,67-223,60.2,75.0,111.32229914170509,SfccfF
