lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
LA4148,48-670,50.2,60.0,27.00520216551615,33.3143493107223,93.28826933733964,93.28826933733964,0.295195,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.195432443989926,33.495560514058226,93.4353816293544,93.4353816293544,0.294335,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.059963196306263,33.375932735024335,93.37593273502434,93.37593273502434,0.29412,SfccfF,focal_length
84-282,LA4022,50.0,60.0,27.001552644919535,34.515545560324625,92.17748649698672,92.17748649698672,0.29326,SfccfF,optimized
84-282,84-283,50.0,60.0,27.00558612365439,34.521848543112284,92.52418765531091,92.52418765531091,0.292615,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.201361024352238,42.00555900731724,117.30555900731724,117.30555900731724,0.29025,SfccfF,focal_length
84-282,48-670,50.0,60.0,27.0006010407111,34.50964949143777,92.00207896136712,92.00207896136712,0.28552,SfccfF,optimized
84-282,48-275,50.0,75.0,27.280651055668834,36.42543495213318,111.42543495213317,111.42543495213317,0.28208,SfccfF,focal_length
84-282,LA4078,50.0,75.3,28.064452533211323,40.13790465357831,115.4379046535783,115.4379046535783,0.27821,SfccfF,focal_length
LA4148,LA4078,50.2,75.3,28.9898353328791,35.32221558306525,110.62221558306524,110.62221558306524,0.27778,SfccfF,focal_length
LA4148,67-223,50.2,75.0,28.71706441988103,47.68156704181322,122.68156704181322,122.68156704181322,0.276705,SfccfF,focal_length
48-274,LA4725,50.0,75.3,28.03263781806826,35.32574732559372,110.62574732559372,110.62574732559372,0.27563,SfccfF,focal_length
LA4148,LA4725,50.2,75.3,28.18400447286193,34.49142814501611,109.79142814501611,109.79142814501611,0.27434000000000003,SfccfF,focal_length
84-282,67-223,50.0,75.0,27.963434213000966,35.552915000303756,110.55291500030376,110.55291500030376,0.27434000000000003,SfccfF,focal_length
LA4148,48-275,50.2,75.0,28.1631306156356,35.79288397759948,110.79288397759947,110.79288397759947,0.269825,SfccfF,focal_length
LA4464,LA4078,60.2,75.3,27.00042822500703,47.312086424811916,121.49875801672518,121.49875801672518,0.266815,SfccfF,optimized
48-274,LA4464,50.0,60.2,28.931116182566,35.79408010140242,95.99408010140243,95.99408010140243,0.26316,SfccfF,focal_length
84-282,LA4464,50.0,60.2,28.195048172577458,35.7311362048239,95.9311362048239,95.9311362048239,0.262085,SfccfF,focal_length
LA4148,LA4464,50.2,60.2,29.08046127811116,35.396973203245246,95.59697320324526,95.59697320324526,0.259935,SfccfF,focal_length
84-283,LA4078,60.0,75.3,35.31909677092974,41.84117086882106,117.14117086882106,117.14117086882106,0.257355,SfccfF,focal_length
84-283,67-223,60.0,75.0,34.4204733011549,40.93152477401729,118.03439338694676,118.03439338694676,0.25542,SfccfF,optimized
LA4464,84-284,60.2,90.0,27.00028752037921,54.864381721633066,142.8363883618026,142.8363883618026,0.254345,SfccfF,optimized
84-282,84-284,50.0,90.0,28.140109504056955,35.65437821665548,125.62923609219716,125.62923609219716,0.25284,SfccfF,optimized
LA4464,67-223,60.2,75.0,27.008394877548678,47.34952850068062,120.63678801287529,120.63678801287529,0.25111999999999995,SfccfF,optimized
LA4022,67-223,60.0,75.0,35.64992501974014,42.53234307334719,117.53234307334719,117.53234307334719,0.24638999999999997,SfccfF,focal_length
84-283,LA4022,60.0,60.0,32.51869229420554,42.31257298148487,102.31257298148486,102.31257298148486,0.241445,SfccfF,focal_length
LA4022,LA4725,60.0,75.3,34.74567494111223,40.46697559603044,115.76697559603043,115.76697559603043,0.241445,SfccfF,focal_length
84-282,LA4545,50.0,100.0,28.871258789145504,36.38191451681569,136.3819145168157,136.3819145168157,0.23091,SfccfF,focal_length
LA4022,LA4022,60.0,60.0,32.53206746233123,57.87565678426297,117.87565678426297,117.87565678426297,0.22166499999999997,SfccfF,focal_length
LA4464,67-224,60.2,100.0,50.160000000000004,70.47500524201836,127.34212144461694,127.34212144461694,0.08256,SfccfF,optimized
