lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
48-274,48-670,50.0,60.0,27.0009999651229,33.40323666771843,92.99130882228167,92.99130882228167,0.26833273094739835,SfccfF,optimized
84-282,LA4022,50.0,60.0,27.000361050009218,34.50168685677242,92.16847876336409,92.16847876336409,0.2665513990547907,SfccfF,optimized
48-274,84-283,50.0,60.0,27.045102968229912,33.38863722747166,93.38246591543097,93.38246591543097,0.26595041448280105,SfccfF,optimized
84-282,48-670,50.0,60.0,27.001370049776597,34.516783383145246,91.99224354332478,91.99224354332478,0.26361294820068726,SfccfF,optimized
84-282,84-283,50.0,60.0,27.000181805259558,34.52017678333161,92.53360355169556,92.53360355169556,0.2621353731273775,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.05837391216336,33.368621240187466,93.36505238684468,93.36505238684468,0.26192938891715517,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.001690401686478,33.30398746650151,93.28791663697156,93.28791663697156,0.2616670411678931,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.173872186968865,33.48012093788422,93.4787581109165,93.4787581109165,0.2579849047114481,SfccfF,optimized
48-274,LA4022,50.0,60.0,27.00042956708421,33.383841225763604,93.16071623829873,93.16071623829873,0.2577704758151302,SfccfF,optimized
LA4148,48-275,50.2,75.0,28.182375338014044,34.48586051546609,109.48300234190378,109.48300234190378,0.2526154150964286,SfccfF,optimized
48-274,48-275,50.0,75.0,28.04276722212046,34.69974456720786,109.69023242867235,109.69023242867235,0.2510354071542683,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.253906164766704,38.417255592341355,113.71015443069155,113.71015443069155,0.24887938956249486,SfccfF,optimized
84-282,48-275,50.0,75.0,27.3031791214837,34.80321741599218,109.8004798798604,109.8004798798604,0.24853874172671536,SfccfF,optimized
48-274,LA4725,50.0,75.3,28.046615579243742,34.393468588955756,109.68566033411412,109.68566033411412,0.2438648208576266,SfccfF,optimized
LA4148,LA4725,50.2,75.3,28.18309436153783,34.49875391541171,109.79190036740899,109.79190036740899,0.2430622707517956,SfccfF,optimized
84-282,84-284,50.0,90.0,28.149337789515794,35.6667751758809,125.5829252902214,125.5829252902214,0.22444274999455507,SfccfF,optimized
LA4148,84-284,50.2,90.0,29.02119627475703,35.37054416730217,125.36835199857579,125.36835199857579,0.22119012154101952,SfccfF,optimized
84-283,LA4022,60.0,60.0,32.65127544234013,39.15236489171434,99.07648241605125,99.07648241605125,0.22088098367038356,SfccfF,optimized
48-670,84-283,60.0,60.0,33.739470310596,38.75248923519848,98.74821234370907,98.74821234370907,0.21802504593144037,SfccfF,optimized
84-283,84-283,60.0,60.0,32.78272594719766,39.29283979510251,99.27998775574086,99.27998775574086,0.21751200248546282,SfccfF,optimized
48-274,84-284,50.0,90.0,28.879357944086678,35.21977294431791,125.21955318369753,125.21955318369753,0.2165840846134697,SfccfF,optimized
