lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
84-282,84-283,50.0,60.0,27.000172339780054,34.55417071543919,92.56626311426561,92.56626311426561,0.26869941198959424,SfccfF,optimized
48-274,48-670,50.0,60.0,27.002750720972085,33.358544445632376,92.94421822822333,92.94421822822333,0.26641237089796976,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.052443296854648,33.63032884529961,93.6274363709352,93.6274363709352,0.26474938258228425,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.110482988190785,36.49808707711692,96.49585988669263,96.49585988669263,0.2614858567703416,SfccfF,optimized
84-282,LA4022,50.0,60.0,27.001552644919535,34.530366206405226,92.19284637599391,92.19284637599391,0.2613163327607969,SfccfF,optimized
48-274,LA4022,50.0,60.0,27.000239246324465,33.45915464496062,93.23191451490433,93.23191451490433,0.2610306718267501,SfccfF,optimized
84-282,48-670,50.0,60.0,27.001552685612793,34.565272699749194,92.03827429915646,92.03827429915646,0.2589748279005075,SfccfF,optimized
48-274,84-283,50.0,60.0,27.039667499635357,33.550523821931996,93.55047213318879,93.55047213318879,0.2583511686439876,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.00041608054257,33.41503200514359,93.39541261516962,93.39541261516962,0.253339843675017,SfccfF,optimized
48-274,LA4725,50.0,75.3,28.01529992739589,36.533741099380954,111.8336571657838,111.8336571657838,0.25115127536387966,SfccfF,optimized
LA4148,48-275,50.2,75.0,28.18204815555397,34.48483294071462,109.48350522633802,109.48350522633802,0.24920771286171467,SfccfF,optimized
LA4148,LA4725,50.2,75.3,28.165534659243228,35.66003026114807,110.95968151191468,110.95968151191468,0.24725433176455383,SfccfF,optimized
84-282,48-275,50.0,75.0,27.199706569076568,42.184365316779875,117.17966721486528,117.17966721486528,0.2455906317136895,SfccfF,optimized
48-274,48-275,50.0,75.0,28.054197023277382,34.42227959366204,109.37811745757143,109.37811745757143,0.24148899862569578,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.186550953426046,43.08350959150867,118.37921893362956,118.37921893362956,0.24147902518122027,SfccfF,optimized
LA4148,84-284,50.2,90.0,29.02241730775061,35.4069039393097,125.39493410066787,125.39493410066787,0.22600655380229315,SfccfF,optimized
48-274,84-284,50.0,90.0,28.86752463639953,36.483423733727136,126.48318781206206,126.48318781206206,0.22442608543772338,SfccfF,optimized
84-282,84-284,50.0,90.0,28.05612886004041,44.11888594653074,134.11536316434743,134.11536316434743,0.22378955440212023,SfccfF,optimized
84-283,LA4725,60.0,75.3,34.184381339049345,40.720249975358286,115.98383046989204,115.98383046989204,0.22006266957618073,SfccfF,optimized
LA4022,48-670,60.0,60.0,33.10046340144926,38.702903129185714,98.69499422899261,98.69499422899261,0.21811207621649473,SfccfF,optimized
48-274,LA4148,50.0,50.2,27.000006085570988,33.34480220833279,81.34560764933367,81.34560764933367,0.21483714084071315,SfccfF,optimized
LA4022,LA4022,60.0,60.0,33.151535793739015,39.779221001170434,99.7755782969143,99.7755782969143,0.21445241399110618,SfccfF,optimized
LA4022,84-283,60.0,60.0,33.31563202741706,39.81257180951283,99.81159608845518,99.81159608845518,0.21379612897490807,SfccfF,optimized
48-670,48-670,60.0,60.0,33.75825711734997,38.75884218520967,98.17969381309786,98.17969381309786,0.2137734947363673,SfccfF,optimized
