lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
48-274,48-670,50.0,60.0,27.015638488767753,33.35599093489182,92.90379972164713,92.90379972164713,0.2697165473325951,SfccfF,optimized
48-274,84-283,50.0,60.0,27.0,35.837500000000006,95.81391639406226,95.81391639406226,0.2690171669761427,SfccfF,optimized
48-274,LA4022,50.0,60.0,27.01546836329182,33.950994305482155,93.6487240209859,93.6487240209859,0.26879449696626845,SfccfF,optimized
84-282,84-283,50.0,60.0,27.000361050009218,34.50168685677242,92.51542626626956,92.51542626626956,0.26870913884050723,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.170143402093895,33.65618314499889,93.65499404253558,93.65499404253558,0.2685481751457618,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.172812521719482,33.5187918279306,93.51816769930602,93.51816769930602,0.2674226612815845,SfccfF,optimized
48-274,48-670,50.0,60.0,27.004802540895156,33.36953328567348,92.9484787372191,92.9484787372191,0.2669941684209618,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.063165373849774,33.363688349117496,93.16053870086722,93.16053870086722,0.26674190230298245,SfccfF,optimized
48-274,48-670,50.0,60.0,27.0,35.837500000000006,95.27917259160203,95.27917259160203,0.2666309763418843,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.05772191890538,33.3631377671132,93.36185556902193,93.36185556902193,0.265807849872095,SfccfF,optimized
48-274,84-283,50.0,60.0,27.043163021233966,33.613930517174836,93.59979280302942,93.59979280302942,0.2653103304036394,SfccfF,optimized
48-274,84-283,50.0,60.0,27.03090973398066,33.971813711942794,93.97180616288409,93.97180616288409,0.26459365776321603,SfccfF,optimized
84-282,48-670,50.0,60.0,27.0,35.837500000000006,93.26265985483165,93.26265985483165,0.26456029666364117,SfccfF,optimized
48-274,LA4022,50.0,60.0,27.002385503025145,33.35317645076168,93.12618011366254,93.12618011366254,0.2643412693763129,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.019011525548184,33.406238958456996,93.33166294776201,93.33166294776201,0.264171577841622,SfccfF,optimized
48-274,84-283,50.0,60.0,27.048269767314196,33.394589403271404,93.37876075779653,93.37876075779653,0.26402211802835934,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.0,35.837500000000006,95.66001051828466,95.66001051828466,0.26401667962918784,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.00066271520447,33.30205771352075,93.28920852177741,93.28920852177741,0.2639936016990289,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.007461479016005,35.62882786445913,95.62873245925863,95.62873245925863,0.263731551203517,SfccfF,optimized
84-282,LA4022,50.0,60.0,27.004771786603573,34.55300406592552,92.20604509103931,92.20604509103931,0.26344271421325116,SfccfF,optimized
