lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
48-274,LA4022,50.0,60.0,27.01546836329182,33.950994305482155,93.6487240209859,93.6487240209859,0.26879449696626845,SfccfF,optimized
48-274,84-283,50.0,60.0,27.043163021233966,33.613930517174836,93.59979280302942,93.59979280302942,0.2653103304036394,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.019011525548184,33.406238958456996,93.33166294776201,93.33166294776201,0.264171577841622,SfccfF,optimized
48-274,48-670,50.0,60.0,27.027796674461882,33.48202565671684,92.98630253705151,92.98630253705151,0.2602322793558502,SfccfF,optimized
84-282,LA4022,50.0,60.0,27.003229882344154,34.625546725305526,92.279699422072,92.279699422072,0.260130497246371,SfccfF,optimized
84-282,84-283,50.0,60.0,27.007395286472264,35.090210002343085,93.06131993879443,93.06131993879443,0.259453329511214,SfccfF,optimized
84-282,48-670,50.0,60.0,27.01677806829445,34.54603974984609,91.97953122043846,91.97953122043846,0.2587733677471543,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.0749409788853,33.7345310923117,93.65853583783783,93.65853583783783,0.25837738435759344,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.176095093569554,33.537159498502334,93.52585389969052,93.52585389969052,0.25835634921752326,SfccfF,optimized
84-282,48-275,50.0,75.0,27.30029216956012,35.683845948612785,110.63930017836982,110.63930017836982,0.2526321109194766,SfccfF,optimized
LA4148,LA4725,50.2,75.3,28.208260348771102,35.12064111270364,110.26074549802881,110.26074549802881,0.24896880725287904,SfccfF,optimized
48-274,48-275,50.0,75.0,28.041357637502113,34.756450384906955,109.74978340241114,109.74978340241114,0.24838631487511045,SfccfF,optimized
48-274,LA4725,50.0,75.3,28.027935909143498,35.65664814753865,110.95458140364485,110.95458140364485,0.24537785617006594,SfccfF,optimized
LA4148,48-275,50.2,75.0,28.180844931627405,34.65323390054613,109.64661459036624,109.64661459036624,0.24139525005412182,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.321555541032055,34.89743320822785,110.10465785125992,110.10465785125992,0.23897915040588802,SfccfF,optimized
48-274,84-284,50.0,90.0,28.881781201133972,35.581817724776045,125.54473575607449,125.54473575607449,0.22504284673297317,SfccfF,optimized
48-670,84-283,60.0,60.0,33.729754745249814,39.75491082337099,99.7085643072521,99.7085643072521,0.22198076902993424,SfccfF,optimized
84-282,84-284,50.0,90.0,28.15627549755628,36.00843382510183,125.8606103879588,125.8606103879588,0.22195467396279414,SfccfF,optimized
LA4022,LA4022,60.0,60.0,33.28791878705982,39.13145575087353,98.88227690489714,98.88227690489714,0.22138523238188385,SfccfF,optimized
84-283,LA4725,60.0,75.3,34.25166278087434,41.00629467034702,116.03509747206766,116.03509747206766,0.21890899530064092,SfccfF,optimized
