lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
48-274,48-670,50.0,60.0,27.015638488767753,33.35599093489182,92.90379972164713,92.90379972164713,0.2697165473325951,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.063165373849774,33.363688349117496,93.16053870086722,93.16053870086722,0.26674190230298245,SfccfF,optimized
48-274,84-283,50.0,60.0,27.03090973398066,33.971813711942794,93.97180616288409,93.97180616288409,0.26459365776321603,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.007461479016005,35.62882786445913,95.62873245925863,95.62873245925863,0.263731551203517,SfccfF,optimized
84-282,48-670,50.0,60.0,27.009895618747404,34.510405521651656,91.96356350867647,91.96356350867647,0.2626541948877514,SfccfF,optimized
84-282,84-283,50.0,60.0,27.047344311845336,34.912691674924474,92.78591690115678,92.78591690115678,0.2620411602033088,SfccfF,optimized
48-274,LA4022,50.0,60.0,27.086544853046234,33.42656511034269,92.94830382547751,92.94830382547751,0.2616884564580393,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.18264676947988,33.48276611214178,93.45564912687094,93.45564912687094,0.2610900582362829,SfccfF,optimized
84-282,LA4022,50.0,60.0,27.002560392390333,34.50262931531135,92.16355103005732,92.16355103005732,0.2564910991059706,SfccfF,optimized
48-274,48-275,50.0,75.0,28.176430683592343,34.516468063084524,108.91689298663735,108.91689298663735,0.24806243477707998,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.342528503236416,34.842547905601066,109.95737018800278,109.95737018800278,0.24470097651206385,SfccfF,optimized
84-282,48-275,50.0,75.0,27.3889574337349,34.88909642056454,109.49347341433497,109.49347341433497,0.24446510989937342,SfccfF,optimized
LA4148,LA4725,50.2,75.3,28.29382949663059,34.593839600738065,109.38100086120876,109.38100086120876,0.2431814065839014,SfccfF,optimized
48-274,LA4725,50.0,75.3,28.0419682170279,34.60791685631876,109.90788662744244,109.90788662744244,0.2421032749467179,SfccfF,optimized
LA4148,48-275,50.2,75.0,28.11797652952038,39.026586394671654,114.0265884723538,114.0265884723538,0.23524107766183144,SfccfF,optimized
84-283,LA4725,60.0,75.3,34.17882099765821,40.67882322494795,115.96296469426206,115.96296469426206,0.2236185291246177,SfccfF,optimized
LA4022,84-283,60.0,60.0,33.332830363618726,39.22233717840013,99.22233240489123,99.22233240489123,0.2202719735713714,SfccfF,optimized
48-274,84-284,50.0,90.0,28.93250012915184,35.27261898690079,124.93286129571402,124.93286129571402,0.2194466064563306,SfccfF,optimized
LA4022,LA4022,60.0,60.0,33.25640340956685,38.8565986872735,98.6914291694309,98.6914291694309,0.21933859182768303,SfccfF,optimized
48-670,84-283,60.0,60.0,33.84146917664591,38.841490298555975,98.61941622823699,98.61941622823699,0.21862356433503177,SfccfF,optimized
48-670,LA4022,60.0,60.0,33.57747125615586,39.00580690644263,98.9775764015972,98.9775764015972,0.21821858385375908,SfccfF,optimized
LA4148,84-284,50.2,90.0,29.038178880372442,35.71844676088782,125.58884377138747,125.58884377138747,0.2162974300642459,SfccfF,optimized
LA4022,LA4725,60.0,75.3,34.812451779611564,40.60234135317046,115.64294008641329,115.64294008641329,0.21609272622520234,SfccfF,optimized
LA4022,48-670,60.0,60.0,33.17276513938298,38.77277643037909,98.60498886853271,98.60498886853271,0.21565306310499419,SfccfF,optimized
84-282,84-284,50.0,90.0,28.13948470023725,37.742130810753,127.59883372646013,127.59883372646013,0.21463293705454342,SfccfF,optimized
84-283,48-670,60.0,60.0,32.589790163427296,39.090152719326234,98.96361013103194,98.96361013103194,0.21394565592087653,SfccfF,optimized
84-283,84-283,60.0,60.0,32.79091185612548,39.29100363584227,99.26114575579385,99.26114575579385,0.21348015579654295,SfccfF,optimized
84-283,84-284,60.0,90.0,35.44582029547703,41.945877863288224,131.4377061568564,131.4377061568564,0.21328903049459338,SfccfF,optimized
