z_l1,z_l2,z_fiber,coupling,fiber_position_method,lens1,lens2,f1_mm,f2_mm,total_len_mm,orientation
27.0,35.837500000000006,95.81391639406226,0.2690171669761427,optimized,48-274,84-283,50.0,60.0,95.81391639406226,SfccfF
27.0,35.837500000000006,95.27917259160203,0.2666309763418843,optimized,48-274,48-670,50.0,60.0,95.27917259160203,SfccfF
27.0,35.837500000000006,93.26265985483165,0.26456029666364117,optimized,84-282,48-670,50.0,60.0,93.26265985483165,SfccfF
27.0,35.837500000000006,95.66001051828466,0.26401667962918784,optimized,LA4148,48-670,50.2,60.0,95.66001051828466,SfccfF
27.0,35.837500000000006,95.84566949950187,0.2621180308953546,optimized,LA4148,LA4022,50.2,60.0,95.84566949950187,SfccfF
27.0,35.837500000000006,93.45077230901853,0.2611134939803651,optimized,84-282,LA4022,50.0,60.0,93.45077230901853,SfccfF
27.0,35.837500000000006,95.46524518534792,0.26013342868082245,optimized,48-274,LA4022,50.0,60.0,95.46524518534792,SfccfF
27.0,35.837500000000006,93.79766393030899,0.25342828129843487,optimized,84-282,84-283,50.0,60.0,93.79766393030899,SfccfF
27.0,44.575,104.39022017192165,0.2532867391874266,optimized,LA4148,84-283,50.2,60.0,104.39022017192165,SfccfF
27.0,60.00625,135.01382206853282,0.24347451549638888,optimized,84-282,LA4725,50.0,75.3,135.01382206853282,SfccfF
27.0,64.5,138.94367660208155,0.23448232451825232,optimized,84-282,48-275,50.0,75.0,138.94367660208155,SfccfF
27.0,34.40833333333333,82.60826285140955,0.2133247394296032,optimized,LA4148,LA4148,50.2,50.2,82.60826285140955,SfccfF
27.0,132.0,221.75197020781516,0.2122637622733558,optimized,84-282,84-284,50.0,90.0,221.75197020781516,SfccfF
29.012500000000003,132.0,217.7619654256776,0.2102813716924861,optimized,LA4148,84-284,50.2,90.0,217.7619654256776,SfccfF
27.0,41.71666666666667,91.4668876384643,0.20871963566787222,optimized,49-962,LA4148,50.0,50.2,91.4668876384643,SfccfF
27.0,41.65833333333334,91.20582892093725,0.20763120846648103,optimized,49-962,48-274,50.0,50.0,91.20582892093725,SfccfF
27.0,34.37916666666667,82.38848969623506,0.2065365932715073,optimized,LA4148,48-274,50.2,50.0,82.38848969623506,SfccfF
27.0,34.37916666666667,82.80302154892468,0.20442673908684886,optimized,LA4148,84-282,50.2,50.0,82.80302154892468,SfccfF
27.0,34.37916666666667,82.15009545744216,0.2036610855331631,optimized,48-274,48-274,50.0,50.0,82.15009545744216,SfccfF
27.0,41.65833333333334,91.62021029603156,0.20302326068790527,optimized,49-962,84-282,50.0,50.0,91.62021029603156,SfccfF
34.875,84.80000000000001,174.15581529854333,0.20258576649359492,optimized,84-283,84-284,60.0,90.0,174.15581529854333,SfccfF
27.0,34.37916666666667,82.56468920860071,0.19880539780328832,optimized,48-274,84-282,50.0,50.0,82.56468920860071,SfccfF
34.875,51.6625,124.2922796043617,0.1983545277581855,optimized,84-283,LA4725,60.0,75.3,124.2922796043617,SfccfF
27.0,64.65,118.92780079565325,0.1978100169584682,optimized,49-961,LA4725,40.0,75.3,118.92780079565325,SfccfF
34.875,51.6625,125.86880605639129,0.19694939081486454,optimized,LA4022,LA4725,60.0,75.3,125.86880605639129,SfccfF
27.0,34.40833333333333,82.36777111510469,0.1965560544678528,optimized,48-274,LA4148,50.0,50.2,82.36777111510469,SfccfF
27.0,70.7875,114.42615843350522,0.19577059273275,optimized,49-961,49-963,40.0,60.0,114.42615843350522,SfccfF
34.875,47.5,104.91196256337551,0.192835024687102,optimized,48-670,84-283,60.0,60.0,104.91196256337551,SfccfF
27.0,102.29999999999998,177.12127417571165,0.19278760617054133,optimized,48-274,LA4725,50.0,75.3,177.12127417571165,SfccfF
34.875,47.5,104.37624356207604,0.19011021556703112,optimized,48-670,48-670,60.0,60.0,104.37624356207604,SfccfF
27.0,102.3,177.48259547257865,0.1892109308544628,optimized,LA4148,LA4725,50.2,75.3,177.48259547257865,SfccfF
34.875,63.94375,138.55702353872985,0.18350033186122552,optimized,48-670,LA4725,60.0,75.3,138.55702353872985,SfccfF
34.875,113.65,203.16512511639118,0.17796591461981745,optimized,LA4022,84-284,60.0,90.0,203.16512511639118,SfccfF
34.875,51.575,123.93144460807504,0.17747003044337417,optimized,84-283,48-275,60.0,75.0,123.93144460807504,SfccfF
27.0,120.33333333333334,176.7216381755014,0.176152103011633,optimized,49-961,49-964,40.0,80.0,176.7216381755014,SfccfF
27.0,137.0,181.06630346352347,0.17292563945746303,optimized,49-961,84-283,40.0,60.0,181.06630346352347,SfccfF
27.0,102.0,176.90322949553703,0.17001058889384058,optimized,LA4148,48-275,50.2,75.0,176.90322949553703,SfccfF
27.0,102.0,176.544024200909,0.16780803479186185,optimized,48-274,48-275,50.0,75.0,176.544024200909,SfccfF
27.0,177.0,266.3254491689047,0.1456203709439381,optimized,48-274,84-284,50.0,90.0,266.3254491689047,SfccfF
27.0,139.95,185.53622155136162,0.1355268865871596,optimized,36-690,LA4725,40.0,75.3,185.53622155136162,SfccfF
32.25,97.0,154.2957506153609,0.1266802762973198,optimized,84-283,48-670,60.0,60.0,154.2957506153609,SfccfF
27.0,189.5,234.32366264435223,0.122714375481692,optimized,LA4306,48-275,40.1,75.0,234.32366264435223,SfccfF
32.25,117.0,174.62444340892677,0.11901635437810909,optimized,48-670,LA4022,60.0,60.0,174.62444340892677,SfccfF
27.0,190.14999999999998,235.04473093586589,0.11837420551417344,optimized,LA4306,LA4725,40.1,75.3,235.04473093586589,SfccfF
29.625,117.0,176.64196579996025,0.10701604232408674,optimized,84-283,84-283,60.0,60.0,176.64196579996025,SfccfF
32.25,117.0,174.58612132386673,0.10370979990394319,optimized,LA4022,84-283,60.0,60.0,174.58612132386673,SfccfF
29.625,117.0,176.29264840772285,0.10193201949102158,optimized,84-283,LA4022,60.0,60.0,176.29264840772285,SfccfF
27.0,38.06875,99.58243755789766,0.10060084958763194,optimized,49-961,LA4725,40.0,75.3,99.58243755789766,ScffcF
29.625,117.0,176.82452945203485,0.1005931682701802,optimized,LA4022,LA4022,60.0,60.0,176.82452945203485,SfccfF
32.25,117.0,174.04952698039756,0.1003549769719566,optimized,LA4022,48-670,60.0,60.0,174.04952698039756,SfccfF
27.0,57.0,105.03982423189386,0.09968326670008915,optimized,49-961,49-963,40.0,60.0,105.03982423189386,ScffcF
27.0,57.0,107.5459348796675,0.09611599759856039,optimized,49-961,84-283,40.0,60.0,107.5459348796675,ScffcF
27.0,38.75416666666667,102.90202783877389,0.09344254877613846,optimized,49-961,49-964,40.0,80.0,102.90202783877389,ScffcF
29.0,52.0,102.00903073619055,0.09343970983054921,optimized,49-962,48-274,50.0,50.0,102.00903073619055,ScffcF
29.0,68.83333333333334,118.38742345369573,0.09339519040663218,optimized,48-274,LA4148,50.0,50.2,118.38742345369573,ScffcF
27.0,38.025000000000006,99.76755810622697,0.09267805166278288,optimized,LA4306,48-275,40.1,75.0,99.76755810622697,ScffcF
27.0,64.65,126.70228376136696,0.09231243676619566,optimized,LA4306,LA4725,40.1,75.3,126.70228376136696,ScffcF
29.0,68.83333333333334,118.36380299119436,0.09216686616108224,optimized,49-962,LA4148,50.0,50.2,118.36380299119436,ScffcF
29.012500000000003,60.466666666666676,110.46593960503427,0.09201984544752956,optimized,LA4148,LA4148,50.2,50.2,110.46593960503427,ScffcF
29.0,85.33333333333334,135.30039975581255,0.09193454929211084,optimized,48-274,84-282,50.0,50.0,135.30039975581255,ScffcF
29.012500000000003,97.0,156.4094913167795,0.09131259503057755,optimized,LA4148,LA4022,50.2,60.0,156.4094913167795,ScffcF
29.0,117.0,176.32627219795538,0.09093469932995593,optimized,48-274,84-283,50.0,60.0,176.32627219795538,ScffcF
29.012500000000003,77.0,136.85910138156459,0.09035332129876816,optimized,LA4148,48-670,50.2,60.0,136.85910138156459,ScffcF
27.0,64.65,126.2978467542165,0.09014999687039124,optimized,36-690,LA4725,40.0,75.3,126.2978467542165,ScffcF
29.0,97.0,155.70721621920265,0.08867597093799723,optimized,48-274,48-670,50.0,60.0,155.70721621920265,ScffcF
29.0,77.0,136.70095595975957,0.08841630712799489,optimized,84-282,48-670,50.0,60.0,136.70095595975957,ScffcF
29.0,97.0,156.26364743448437,0.0881063249472574,optimized,48-274,LA4022,50.0,60.0,156.26364743448437,ScffcF
34.875,67.5,127.38983512786942,0.0876873665719219,optimized,84-283,48-670,60.0,60.0,127.38983512786942,ScffcF
29.0,117.0,176.34244119720447,0.08767267425437628,optimized,84-282,84-283,50.0,60.0,176.34244119720447,ScffcF
29.012500000000003,152.0,226.37875027462593,0.08716876897643812,optimized,LA4148,48-275,50.2,75.0,226.37875027462593,ScffcF
34.875,67.5,127.35186853708365,0.08708995640411978,optimized,LA4022,48-670,60.0,60.0,127.35186853708365,ScffcF
29.0,97.0,156.28212942971663,0.08673287778658777,optimized,84-282,LA4022,50.0,60.0,156.28212942971663,ScffcF
29.012500000000003,139.95,215.2813468122068,0.08501113987654653,optimized,LA4148,LA4725,50.2,75.3,215.2813468122068,ScffcF
29.0,85.33333333333334,134.1644363409998,0.08482024568474399,optimized,48-274,48-274,50.0,50.0,134.1644363409998,ScffcF
37.5,75.0,147.32446215825902,0.08344045264163141,optimized,84-283,48-275,60.0,75.0,147.32446215825902,ScffcF
29.0,139.5,214.4297617657425,0.0833267254730165,optimized,84-282,48-275,50.0,75.0,214.4297617657425,ScffcF
29.012500000000003,102.0,151.54546932599982,0.08329099823958534,optimized,LA4148,84-282,50.2,50.0,151.54546932599982,ScffcF
34.875,67.5,127.36018169865959,0.08298122262526796,optimized,48-670,48-670,60.0,60.0,127.36018169865959,ScffcF
29.012500000000003,85.33333333333334,134.26548991983725,0.08297156728973154,optimized,LA4148,48-274,50.2,50.0,134.26548991983725,ScffcF
34.875,77.5,137.40789119086068,0.08208107364528693,optimized,84-283,LA4022,60.0,60.0,137.40789119086068,ScffcF
37.5,75.15,147.7010723253371,0.08097256789064698,optimized,48-670,LA4725,60.0,75.3,147.7010723253371,ScffcF
29.0,102.0,151.4418161092958,0.08087033833114883,optimized,49-962,84-282,50.0,50.0,151.4418161092958,ScffcF
31.0,117.0,206.56599543626535,0.08080639915813055,optimized,84-282,84-284,50.0,90.0,206.56599543626535,ScffcF
34.875,97.5,157.3277066962961,0.080661943382084,optimized,LA4022,84-283,60.0,60.0,157.3277066962961,ScffcF
29.0,139.95,215.1032351069485,0.08003101901007353,optimized,48-274,LA4725,50.0,75.3,215.1032351069485,ScffcF
34.875,77.5,137.3807296124723,0.07999368617116004,optimized,48-670,LA4022,60.0,60.0,137.3807296124723,ScffcF
29.0,139.5,214.4061295991409,0.0795998685494898,optimized,48-274,48-275,50.0,75.0,214.4061295991409,ScffcF
31.0,132.0,220.8650861014643,0.07919854354031794,optimized,48-274,84-284,50.0,90.0,220.8650861014643,ScffcF
29.012500000000003,117.0,176.445907307172,0.07902859451396028,optimized,LA4148,84-283,50.2,60.0,176.445907307172,ScffcF
29.0,139.95,215.12695960158425,0.07824808797647308,optimized,84-282,LA4725,50.0,75.3,215.12695960158425,ScffcF
37.5,75.15,147.71997459381643,0.07616035181868633,optimized,84-283,LA4725,60.0,75.3,147.71997459381643,ScffcF
37.5,75.15,147.675643080704,0.07612805036054264,optimized,LA4022,LA4725,60.0,75.3,147.675643080704,ScffcF
34.875,77.5,137.37323180564078,0.07507911115953365,optimized,LA4022,LA4022,60.0,60.0,137.37323180564078,ScffcF
38.8125,52.5,139.6240011645924,0.0736216372924911,optimized,LA4022,84-284,60.0,90.0,139.6240011645924,ScffcF
29.012500000000003,222.0,311.7311305140786,0.07197247134991756,optimized,LA4148,84-284,50.2,90.0,311.7311305140786,ScffcF
34.875,97.5,157.35678844403904,0.0706803010071614,optimized,84-283,84-283,60.0,60.0,157.35678844403904,ScffcF
34.875,97.5,157.32846794653634,0.07025995503260501,optimized,48-670,84-283,60.0,60.0,157.32846794653634,ScffcF
37.5,112.5,201.76420735141863,0.0683301794913187,optimized,84-283,84-284,60.0,90.0,201.76420735141863,ScffcF
