lens1,lens2,f1_mm,f2_mm,z_l1,z_l2,z_fiber,total_len_mm,coupling,orientation,fiber_position_method
84-282,84-283,50.0,60.0,27.000361050009218,34.50168685677242,92.51542626626956,92.51542626626956,0.26870913884050723,SfccfF,optimized
LA4148,84-283,50.2,60.0,27.172812521719482,33.5187918279306,93.51816769930602,93.51816769930602,0.2674226612815845,SfccfF,optimized
LA4148,LA4022,50.2,60.0,27.05772191890538,33.3631377671132,93.36185556902193,93.36185556902193,0.265807849872095,SfccfF,optimized
48-274,84-283,50.0,60.0,27.048269767314196,33.394589403271404,93.37876075779653,93.37876075779653,0.26402211802835934,SfccfF,optimized
LA4148,48-670,50.2,60.0,27.00066271520447,33.30205771352075,93.28920852177741,93.28920852177741,0.2639936016990289,SfccfF,optimized
48-274,LA4022,50.0,60.0,27.00234642031137,33.34628593036879,93.11982697084764,93.11982697084764,0.2629844423173133,SfccfF,optimized
84-282,48-670,50.0,60.0,27.001370049776597,34.516783383145246,91.9922571279663,91.9922571279663,0.26245967852707613,SfccfF,optimized
48-274,48-670,50.0,60.0,27.00589789444348,33.34916970557508,92.92614729880071,92.92614729880071,0.25927673116468936,SfccfF,optimized
84-282,LA4022,50.0,60.0,27.000361050009218,34.50168685677242,92.16847358978346,92.16847358978346,0.25513868325081024,SfccfF,optimized
LA4148,48-275,50.2,75.0,28.180499094566667,34.643325283360284,109.63910651002328,109.63910651002328,0.24670870874098488,SfccfF,optimized
48-274,LA4725,50.0,75.3,28.039155902206254,34.82649721262837,110.12558958298823,110.12558958298823,0.2461849872608305,SfccfF,optimized
48-274,48-275,50.0,75.0,28.04047608934343,34.729091396555305,109.7281272666702,109.7281272666702,0.24592380486223953,SfccfF,optimized
84-282,48-275,50.0,75.0,27.294833104508314,35.374436914967816,110.37380235475807,110.37380235475807,0.24591429578425827,SfccfF,optimized
LA4148,LA4725,50.2,75.3,28.184166543613927,34.49529170573804,109.7837730704154,109.7837730704154,0.24553785202716477,SfccfF,optimized
84-282,LA4725,50.0,75.3,27.305110741070514,34.813290098755076,110.10114065804797,110.10114065804797,0.24408293555235422,SfccfF,optimized
48-670,LA4022,60.0,60.0,33.61884199698635,38.61948277885574,98.52878862086298,98.52878862086298,0.22869269845962256,SfccfF,optimized
LA4022,LA4022,60.0,60.0,33.19907701165451,38.813310075815025,98.77256542972947,98.77256542972947,0.22505475700650082,SfccfF,optimized
84-283,LA4725,60.0,75.3,34.17448755934943,40.686730837216786,115.98452310051009,115.98452310051009,0.22249306544264347,SfccfF,optimized
48-274,84-284,50.0,90.0,28.880412842322713,35.222798032837495,125.21568480962482,125.21568480962482,0.22199275462029716,SfccfF,optimized
84-282,84-284,50.0,90.0,28.16148751116601,35.70957906917366,125.5461971171589,125.5461971171589,0.22073866295351605,SfccfF,optimized
LA4022,84-283,60.0,60.0,33.34377256165019,38.98103453979186,98.97317606422352,98.97317606422352,0.22034042448165253,SfccfF,optimized
LA4148,84-284,50.2,90.0,29.02326572201595,35.32548954627171,125.31298079274752,125.31298079274752,0.2199120350211371,SfccfF,optimized
84-283,LA4022,60.0,60.0,32.6686023054782,39.18283357762007,99.06814696639798,99.06814696639798,0.2182050831677036,SfccfF,optimized
84-283,84-283,60.0,60.0,32.79414202507327,39.31182242905197,99.27390459749475,99.27390459749475,0.21788095980196484,SfccfF,optimized
48-670,48-670,60.0,60.0,33.519410193356194,38.537586828997576,98.47879662965063,98.47879662965063,0.21541094842008304,SfccfF,optimized
48-274,LA4148,50.0,50.2,27.002930220760817,33.344943128488964,81.34036512104588,81.34036512104588,0.21522170659131012,SfccfF,optimized
84-283,84-284,60.0,90.0,35.33534166590809,41.83535174231498,131.8229075081937,131.8229075081937,0.21522042692803647,SfccfF,optimized
