lens1,lens2,coupling,z_l1,z_l2,z_fiber,total_length,spot_radius,output_angle,f1_eff,f2_eff,size_match,angle_match,method
84-281,89-414,0.35502417158871646,47.0,171.875,214.0,214.0,0.5113175702476811,12.685135138991441,62.54351514222195,20.841776200344974,0.9997495372429731,0.9992161710472445,paraxial
48-278,LA4194,0.3544835179534039,47.0,293.93,336.13,336.13,0.49413762333809474,12.72086644075777,125.10521682563096,16.731617892074496,0.9999304528433933,0.9975139893622461,paraxial
84-282,89-411,0.35432168351812665,37.0,125.25,143.5,143.5,0.4966612197746305,12.629223038451924,41.68355240068995,8.329435863663173,0.9999775555526581,0.9970116232472169,paraxial
48-276,LA4280,0.3532554695507112,37.0,165.79,184.64,184.64,0.46248833312916626,12.629344713956433,83.38529134256693,8.365808946037248,0.9969636511107045,0.9970164260604897,paraxial
89-414,LA4028,0.3529420632528112,57.0,99.125,851.425,851.425,0.5269993333771192,12.565208594188991,20.841776200344974,500.3117480554016,0.9986180394089309,0.9944816090732181,paraxial
36-689,LA4026,0.35247399236793586,27.0,105.5,111.75,111.75,0.5483816107098978,12.730341101473254,29.189398605195183,5.092231532370499,0.9957435932073937,0.9960297259790317,paraxial
36-684,LA4280,0.35234484905113284,27.0,65.5,84.35,84.35,0.49943873169686137,12.48814918063288,60.03377245841078,8.365808946037248,0.9999993692480065,0.9914274605713205,paraxial
LA4102,LA4280,0.35219215153449474,67.0,245.5125,264.36249999999995,264.36249999999995,0.5379824566634062,12.544380335588526,167.31617892074496,8.365808946037248,0.9973231621543474,0.9936570341860257,paraxial
LA4038,LA4043,0.3521916700779733,67.0,971.6,1176.9250000000002,1176.9250000000002,0.5242265310547336,12.505242801831669,375.18834468858364,104.20888100172485,0.9988812336485913,0.9921057552464707,paraxial
45-695,48-664,0.3521172200309027,27.0,83.0,109.375,109.375,0.4539054922416845,12.589220743899078,22.514937989552422,12.512340336681799,0.9953336304109554,0.9954313841395913,paraxial
36-684,70-884,0.3520424928444959,27.0,92.5,101.45,101.45,0.5036259753170529,12.765170099366639,60.03377245841078,5.0012988264353115,0.9999738943803052,0.990601926554227,paraxial
48-278,LA4966,0.35161941387512796,37.0,340.18,402.18,402.18,0.5215359362919525,12.458899439746814,125.10521682563096,25.097426838111748,0.999111237228587,0.9902657193002455,paraxial
36-679,45-693,0.3514464125881075,27.0,71.0,101.0,101.0,0.4699731725347429,12.472275622729137,17.513639163117112,11.257468994776211,0.9980840214818324,0.9907971635956245,paraxial
LA4018,LA4924,0.3513998322810314,47.0,1798.8,2153.0,2153.0,0.46255261593239894,12.496739624844762,1667.523961439468,146.40165655565187,0.996974447518502,0.9917683973274264,paraxial
48-665,89-413,0.35139831150822437,27.0,68.0,94.5,94.5,0.57787083261936,12.684099138788314,20.005195305741246,16.677058268513385,0.9895795107505921,0.9991753670163156,paraxial
