lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber
36-682,45-695,differential_evolution,150.0,0.0006081500644960037,37.7,10.554198008868786,10.7,37.7
36-682,45-695,differential_evolution,160.0,0.00040407131042415116,37.7,10.49467950601755,10.7,37.7
36-682,45-695,differential_evolution,170.0,0.0003849959881725737,37.7,10.49467965034653,10.7,37.7
36-682,45-695,differential_evolution,180.0,0.0004136893471464701,37.7,10.551949290981302,10.7,37.7
36-682,45-695,differential_evolution,190.0,0.00022064841663439305,37.7,10.554058867453174,10.7,37.7
36-682,45-695,differential_evolution,200.0,0.2212041449652391,39.51534974202321,9.712273672308365,12.515349742023211,39.51534974202321
36-682,45-695,differential_evolution,210.0,0.22331032578571314,39.47088233227623,9.703336672267723,12.470882332276233,39.47088233227623
36-682,45-695,differential_evolution,220.0,0.22095996294315506,39.494268535547064,9.709617252827627,12.494268535547064,39.494268535547064
36-682,45-695,differential_evolution,230.0,0.2315169229644597,39.4830158362109,9.717245652414107,12.483015836210903,39.4830158362109
36-682,45-695,differential_evolution,240.0,0.24717325623022554,39.4715402792464,9.704854335596705,12.471540279246398,39.4715402792464
36-682,45-695,differential_evolution,250.0,0.23749780815729854,39.460360783042994,9.70244654146637,12.460360783042994,39.460360783042994
36-682,45-695,differential_evolution,260.0,0.23649804421979417,39.461052543186526,9.703581941090363,12.461052543186526,39.461052543186526
36-682,45-695,differential_evolution,270.0,0.2524980977559019,39.46854386497815,9.706208118491421,12.468543864978152,39.46854386497815
36-682,45-695,differential_evolution,280.0,0.2444983347729119,39.46907643548165,9.704198548533887,12.469076435481647,39.46907643548165
36-682,45-695,differential_evolution,290.0,0.22349862400411663,39.4745124917978,9.700346366121309,12.474512491797803,39.4745124917978
36-682,45-695,differential_evolution,300.0,0.24299865030104192,39.45824163533237,9.702154518597288,12.45824163533237,39.45824163533237
36-682,45-695,dual_annealing,150.0,0.0006516174864113866,37.7,10.326291030975439,10.7,37.7
36-682,45-695,dual_annealing,160.0,0.0003863499033521858,37.7,10.357976158974262,10.7,37.7
36-682,45-695,dual_annealing,170.0,0.0002567941080284801,37.7,10.326295727720172,10.7,37.7
36-682,45-695,dual_annealing,180.0,0.0003866163819937883,37.7,10.326312452874852,10.7,37.7
36-682,45-695,dual_annealing,190.0,0.00023385897939297954,37.7,10.326312616787625,10.7,37.7
36-682,45-695,dual_annealing,200.0,0.192229195496949,39.548206889771414,9.79225133945661,12.548206889771414,39.548206889771414
36-682,45-695,dual_annealing,210.0,0.2316838024816813,39.468228664476584,9.714649856958241,12.468228664476586,39.468228664476584
36-682,45-695,dual_annealing,220.0,0.22719268568498183,39.54049113748908,9.834933658359306,12.540491137489076,39.54049113748908
36-682,45-695,dual_annealing,230.0,0.23097821890551007,39.471965122113104,9.70426688135334,12.471965122113104,39.471965122113104
36-682,45-695,dual_annealing,240.0,0.24616129614327725,39.52708007933941,9.769518725944824,12.52708007933941,39.52708007933941
36-682,45-695,dual_annealing,250.0,0.24899772602981562,39.457277590038565,9.712327361548262,12.457277590038567,39.457277590038565
36-682,45-695,dual_annealing,260.0,0.22199816268150072,39.46733568583172,9.704547687664292,12.46733568583172,39.46733568583172
36-682,45-695,dual_annealing,270.0,0.23349822782463264,39.54599656933691,9.779721471900832,12.545996569336907,39.54599656933691
36-682,45-695,dual_annealing,280.0,0.23399838199284095,39.615340936668176,9.779354096929428,12.615340936668172,39.615340936668176
36-682,45-695,dual_annealing,290.0,0.23049859064671382,39.47267561215186,9.711451570520229,12.47267561215186,39.47267561215186
36-682,45-695,dual_annealing,300.0,0.24149865752490784,39.497548292523135,9.747425130448427,12.497548292523136,39.497548292523135
36-682,45-695,nelder_mead,150.0,0.0005019914036640027,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,160.0,0.0005872400191211346,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,170.0,0.00041804435370683635,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,180.0,0.0004663362938379207,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,190.0,0.0002937155434847114,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,200.0,0.0071749578868305144,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,210.0,0.009724173841371322,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,220.0,0.011313251467326639,36.808705715825155,9.70617516300601,9.808705715825159,36.808705715825155
36-682,45-695,nelder_mead,230.0,0.00941769720003115,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,240.0,0.012945065807535735,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,250.0,0.014499950768774311,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
36-682,45-695,nelder_mead,260.0,0.011999963142053188,36.80385605296319,9.70091573504926,9.80385605296319,36.80385605296319
