lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber
84-277,LA4002,differential_evolution,150.0,0.00013721519252571655,35.7,10.074505901993561,10.7,35.7
84-277,LA4002,differential_evolution,160.0,0.0001392202501425359,35.7,10.074506645842922,10.7,35.7
84-277,LA4002,differential_evolution,170.0,0.00011970988196251512,35.7,10.137738728449241,10.7,35.7
84-277,LA4002,differential_evolution,180.0,0.0001011765594368259,35.7,10.13773865073364,10.7,35.7
84-277,LA4002,differential_evolution,190.0,0.00013768300719029292,35.7,9.80020535096469,10.7,35.7
84-277,LA4002,differential_evolution,200.0,0.2150366603054372,41.14884159905822,12.137466255145776,16.148841599058223,41.14884159905822
84-277,LA4002,differential_evolution,210.0,0.21932479198274038,41.40998051009314,12.169805870418383,16.409980510093142,41.40998051009314
84-277,LA4002,differential_evolution,220.0,0.23489676966462048,41.209644737954974,12.133735494463503,16.209644737954974,41.209644737954974
84-277,LA4002,differential_evolution,230.0,0.251763866718169,41.221449794295566,12.13668121465612,16.221449794295566,41.221449794295566
84-277,LA4002,differential_evolution,240.0,0.2262880265084779,41.1525760631227,12.128588238173853,16.1525760631227,41.1525760631227
84-277,LA4002,differential_evolution,250.0,0.25499757322016264,41.1641677497273,12.12850619946041,16.164167749727298,41.1641677497273
84-277,LA4002,differential_evolution,260.0,0.24999782305430063,41.279781434453916,12.11997117359864,16.279781434453916,41.279781434453916
84-277,LA4002,differential_evolution,270.0,0.2769978232301678,41.28104682819524,12.12909511139192,16.281046828195237,41.28104682819524
84-277,LA4002,differential_evolution,280.0,0.24099829050183422,41.20132800439322,12.12443239303585,16.20132800439322,41.20132800439322
84-277,LA4002,differential_evolution,290.0,0.24299844052268882,41.163748188608345,12.140852306109347,16.163748188608345,41.163748188608345
84-277,LA4002,differential_evolution,300.0,0.2539985298770725,41.16570240287759,12.135092040846548,16.165702402877592,41.16570240287759
84-277,LA4002,dual_annealing,150.0,0.00012194491673244151,35.7,10.206305490351419,10.7,35.7
84-277,LA4002,dual_annealing,160.0,0.00016479517463082938,35.7,10.055061096380722,10.7,35.7
84-277,LA4002,dual_annealing,170.0,0.00011975339553132996,35.7,9.985929510425976,10.7,35.7
84-277,LA4002,dual_annealing,180.0,2.763944349742006e-05,35.7,9.83881800663859,10.7,35.7
