lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
36-681,36-683,differential_evolution,150.0,0.00024776003575858536,35.7,10.117301499806707,10.7,35.7,air
36-681,36-683,differential_evolution,160.0,0.0001375765966409046,35.7,10.16457870508794,10.7,35.7,air
36-681,36-683,differential_evolution,170.0,0.0001782701628440929,35.7,10.164578516350042,10.7,35.7,air
36-681,36-683,differential_evolution,180.0,0.00014098594071809939,35.7,10.16457823879431,10.7,35.7,air
36-681,36-683,differential_evolution,190.0,0.00011296831723754004,35.7,10.16457874949686,10.7,35.7,air
36-681,36-683,differential_evolution,200.0,0.21529846820295345,38.39270462665489,10.515076438727608,13.39270462665489,38.39270462665489,air
36-681,36-683,differential_evolution,210.0,0.21572807871403432,38.327324631805986,10.511001670634435,13.327324631805986,38.327324631805986,air
36-681,36-683,differential_evolution,220.0,0.2370696599040994,38.38352596652815,10.522362058558071,13.383525966528147,38.38352596652815,air
36-681,36-683,differential_evolution,230.0,0.2556371956736663,38.35447598582304,10.523592387238205,13.354475985823044,38.35447598582304,air
36-681,36-683,differential_evolution,240.0,0.22495215099261134,38.44492071295834,10.50668866615504,13.444920712958343,38.44492071295834,air
36-681,36-683,differential_evolution,250.0,0.23799787224750882,38.345780554226664,10.521458878649447,13.345780554226664,38.345780554226664,air
36-681,36-683,differential_evolution,260.0,0.24249800039923575,38.79467315571769,10.498023012463214,13.794673155717689,38.79467315571769,air
36-681,36-683,differential_evolution,270.0,0.22499837064591682,38.33346911567744,10.515966457108016,13.333469115677438,38.33346911567744,air
36-681,36-683,differential_evolution,280.0,0.24649834951799043,38.48954675424091,10.507301164979587,13.489546754240912,38.48954675424091,air
36-681,36-683,differential_evolution,290.0,0.23949857692995988,38.367727207606166,10.525812711234126,13.367727207606166,38.367727207606166,air
36-681,36-683,differential_evolution,300.0,0.2394987080845409,38.3493652936312,10.508605357392085,13.349365293631202,38.3493652936312,air
36-681,36-683,dual_annealing,150.0,0.0004121221153171693,35.7,10.023810583373562,10.7,35.7,air
36-681,36-683,dual_annealing,160.0,0.00023407253379683222,35.7,9.829616673923276,10.7,35.7,air
36-681,36-683,dual_annealing,170.0,0.0002016777328036588,35.7,10.205300942327426,10.7,35.7,air
36-681,36-683,dual_annealing,180.0,0.0001915191187270391,35.7,9.829590076499706,10.7,35.7,air
36-681,36-683,dual_annealing,190.0,0.00014133972436949942,35.7,10.32607124277506,10.7,35.7,air
36-681,36-683,dual_annealing,200.0,0.2071098890571048,38.34962617112871,10.546638041914989,13.34962617112871,38.34962617112871,air
36-681,36-683,dual_annealing,210.0,0.21856431800702494,38.579236924030056,10.595054048726674,13.579236924030056,38.579236924030056,air
36-681,36-683,dual_annealing,220.0,0.22675579025579912,38.9999650453381,10.490674572966284,13.9999650453381,38.9999650453381,air
36-681,36-683,dual_annealing,230.0,0.2253065764581537,38.34903611380285,10.565272076822803,13.34903611380285,38.34903611380285,air
