lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
36-681,36-681,differential_evolution,150.0,0.0001395100010573,32.7,10.08295946144493,10.7,32.7,air
36-681,36-681,differential_evolution,160.0,0.0002040470463577,32.7,10.08295959467168,10.7,32.7,air
36-681,36-681,differential_evolution,170.0,0.0001767243698248,32.7,9.756779957743898,10.7,32.7,air
36-681,36-681,differential_evolution,180.0,0.0001610013237594,32.7,9.900188207090766,10.7,32.7,air
36-681,36-681,differential_evolution,190.0,0.0001003804569696,32.7,9.900188786595958,10.7,32.7,air
36-681,36-681,differential_evolution,200.0,0.2426182520797434,34.932322203251374,10.089904689954636,12.932322203251374,34.932322203251374,air
36-681,36-681,differential_evolution,210.0,0.2353034263591395,34.92886313981021,10.08945670532513,12.928863139810211,34.92886313981021,air
36-681,36-681,differential_evolution,220.0,0.2394645976858082,34.99555611461832,10.080659116136104,12.995556114618315,34.99555611461832,air
36-681,36-681,differential_evolution,230.0,0.2399911999874329,34.90842262378904,10.073920644836088,12.908422623789043,34.90842262378904,air
36-681,36-681,differential_evolution,240.0,0.2489723705832308,34.96044025234312,10.068228375489811,12.96044025234312,34.96044025234312,air
36-681,36-681,differential_evolution,250.0,0.2704978208431493,34.919225449343486,10.086976999566891,12.919225449343486,34.919225449343486,air
36-681,36-681,differential_evolution,260.0,0.2499981761641837,34.94197047827775,10.091986380935868,12.941970478277751,34.94197047827775,air
36-681,36-681,differential_evolution,270.0,0.2569983050995741,34.929461616986984,10.07876682628216,12.929461616986984,34.929461616986984,air
36-681,36-681,differential_evolution,280.0,0.2384985850631151,34.93153666699701,10.091050837560422,12.931536666997012,34.93153666699701,air
36-681,36-681,differential_evolution,290.0,0.2539986086101225,35.06553605850822,10.062770828501804,13.065536058508222,35.06553605850822,air
36-681,36-681,differential_evolution,300.0,0.257498739748968,34.928985687191776,10.083781402183371,12.928985687191776,34.928985687191776,air
36-681,36-681,dual_annealing,150.0,0.00017410386072,32.7,10.370016266732598,10.7,32.7,air
36-681,36-681,dual_annealing,160.0,0.0002039794465105,32.7,10.55584320765978,10.7,32.7,air
36-681,36-681,dual_annealing,170.0,0.0002142476102148,32.7,10.329756921973544,10.7,32.7,air
36-681,36-681,dual_annealing,180.0,0.0001607879187821,32.7,10.228151438064485,10.7,32.7,air
36-681,36-681,dual_annealing,190.0,0.0001202963392323,32.7,10.561117353433264,10.7,32.7,air
36-681,36-681,dual_annealing,200.0,0.2258021125137928,34.969868894087625,10.131881767429183,12.969868894087622,34.969868894087625,air
36-681,36-681,dual_annealing,210.0,0.2403424121040484,35.06068607409135,10.119914308555238,13.060686074091349,35.06068607409135,air
36-681,36-681,dual_annealing,220.0,0.2250543154111648,34.995813558768674,10.157328926837032,12.995813558768672,34.995813558768674,air
36-681,36-681,dual_annealing,230.0,0.2448665010160502,34.978818788217644,10.139484790531087,12.978818788217646,34.978818788217644,air
36-681,36-681,dual_annealing,240.0,0.2534556240745679,34.97203760513696,10.133570926804415,12.97203760513696,34.97203760513696,air
36-681,36-681,dual_annealing,250.0,0.2419980627760218,34.99965264541335,10.16623301607856,12.999652645413343,34.99965264541335,air
36-681,36-681,dual_annealing,260.0,0.2354982858625729,34.94633561416099,10.125194543964971,12.946335614160994,34.94633561416099,air
36-681,36-681,dual_annealing,270.0,0.2584982981526219,34.90464408919537,10.07620022690778,12.904644089195369,34.90464408919537,air
36-681,36-681,dual_annealing,280.0,0.2429985464695961,35.03243465094021,10.193844468284883,13.032434650940212,35.03243465094021,air
36-681,36-681,dual_annealing,290.0,0.245998679098947,34.918989449064554,10.088755519634116,12.918989449064556,34.918989449064554,air
36-681,36-681,dual_annealing,300.0,0.2569987373925589,35.05228685971423,10.212789451706897,13.052286859714233,35.05228685971423,air
36-681,36-681,nelder_mead,150.0,0.0002318504291163,31.8224736169504,9.722324281070968,9.8224736169504,31.8224736169504,air
36-681,36-681,nelder_mead,160.0,0.0002317430533671,31.8224736169504,9.722324281070968,9.8224736169504,31.8224736169504,air
36-681,36-681,nelder_mead,170.0,0.0001865450328616,31.8224736169504,9.722324281070968,9.8224736169504,31.8224736169504,air
36-681,36-681,nelder_mead,180.0,0.000213511576936,31.8224736169504,9.722324281070968,9.8224736169504,31.8224736169504,air
36-681,36-681,nelder_mead,190.0,0.0001128873364978,31.8224736169504,9.722324281070968,9.8224736169504,31.8224736169504,air
36-681,36-681,nelder_mead,200.0,0.2209315047329995,35.31925139427194,10.059511728286749,13.319251394271935,35.31925139427194,air
36-681,36-681,nelder_mead,210.0,0.2292070375590623,35.08975465782002,10.253823997899907,13.089754657820022,35.08975465782002,air
36-681,36-681,nelder_mead,220.0,0.0078603951181635,31.812986681878428,9.702794617526456,9.812986681878428,31.812986681878428,air
36-681,36-681,nelder_mead,230.0,0.2194904405960783,41.05083690370227,9.814896561857315,19.05083690370227,41.05083690370227,air
36-681,36-681,nelder_mead,240.0,0.2534465599522918,34.91213249387226,10.072463789842972,12.912132493872257,34.91213249387226,air
36-681,36-681,nelder_mead,250.0,0.2494979916789783,34.91836275908781,10.069411007438596,12.918362759087817,34.91836275908781,air
36-681,36-681,nelder_mead,260.0,0.2439982266440192,34.88997207086793,10.069526936570533,12.889972070867923,34.88997207086793,air
36-681,36-681,nelder_mead,270.0,0.2419984014509462,34.905830053388854,10.078081868586468,12.905830053388854,34.905830053388854,air
36-681,36-681,nelder_mead,280.0,0.2509985001100571,34.95243357834397,10.112710931441065,12.952433578343976,34.95243357834397,air
36-681,36-681,nelder_mead,290.0,0.2579986060457075,34.89866590499897,10.07124242782574,12.898665904998971,34.89866590499897,air
36-681,36-681,nelder_mead,300.0,0.2449988014974753,34.92732187853536,10.074373982893311,12.92732187853536,34.92732187853536,air
36-681,36-681,powell,150.0,0.0004200951273776,31.84094558249221,9.728677052147107,9.840945582492214,31.84094558249221,air
36-681,36-681,powell,160.0,0.0004614466321617,31.84094558249221,9.728677052147107,9.840945582492214,31.84094558249221,air
36-681,36-681,powell,170.0,0.0002325091418115,31.84094558249221,9.728677052147107,9.840945582492214,31.84094558249221,air
36-681,36-681,powell,180.0,0.000207877783767,32.403251511560846,9.711456177493895,10.403251511560844,32.403251511560846,air
36-681,36-681,powell,190.0,9.976430389558565e-05,31.84094558249221,9.728677052147107,9.840945582492214,31.84094558249221,air
36-681,36-681,powell,200.0,0.2286456698830934,35.008511294647754,10.190853443508589,13.008511294647752,35.008511294647754,air
36-681,36-681,powell,210.0,0.235757982096807,35.01431360198623,10.165043560035963,13.014313601986233,35.01431360198623,air
36-681,36-681,powell,220.0,0.2274270585782304,34.985908857484915,10.089088691364076,12.985908857484915,34.985908857484915,air
36-681,36-681,powell,230.0,0.2379894731540357,35.014396640490915,10.080266509263058,13.014396640490917,35.014396640490915,air
36-681,36-681,powell,240.0,0.2450176659759576,34.96169883870529,10.088686810752549,12.961698838705288,34.96169883870529,air
36-681,36-681,powell,250.0,0.2474980061413063,35.04014694884147,10.179159389021107,13.04014694884147,35.04014694884147,air
36-681,36-681,powell,260.0,0.2374982589458277,34.96414423882979,10.070722676956944,12.964144238829784,34.96414423882979,air
36-681,36-681,powell,270.0,0.2444983807261735,35.055854409577265,10.19686322464734,13.055854409577268,35.055854409577265,air
36-681,36-681,powell,280.0,0.2324986104127616,34.95978713514651,10.144572315188627,12.959787135146511,34.95978713514651,air
36-681,36-681,powell,290.0,0.2624985851071551,34.92349491516731,10.079533371994849,12.923494915167312,34.92349491516731,air
36-681,36-681,powell,300.0,0.2434987940838109,35.06899874506754,10.14020638237208,13.068998745067535,35.06899874506754,air
36-681,36-681,grid_search,150.0,0.0003502315392563,34.99583333333334,10.670833333333333,12.995833333333334,34.99583333333334,air
36-681,36-681,grid_search,160.0,0.0002128769322068,34.99583333333334,10.670833333333333,12.995833333333334,34.99583333333334,air
36-681,36-681,grid_search,170.0,0.000160315244641,34.99583333333334,10.670833333333333,12.995833333333334,34.99583333333334,air
36-681,36-681,grid_search,180.0,9.76019282551715e-05,34.99583333333334,10.670833333333333,12.995833333333334,34.99583333333334,air
36-681,36-681,grid_search,190.0,6.796787168038761e-05,34.99583333333334,10.670833333333333,12.995833333333334,34.99583333333334,air
36-681,36-681,grid_search,200.0,0.2040655758578089,39.03333333333333,10.670833333333333,17.03333333333333,39.03333333333333,air
36-681,36-681,grid_search,210.0,0.227579246669454,38.19166666666666,10.670833333333333,16.191666666666666,38.19166666666666,air
36-681,36-681,grid_search,220.0,0.2114489400443726,39.03333333333333,10.670833333333333,17.03333333333333,39.03333333333333,air
36-681,36-681,grid_search,230.0,0.1939584963629521,35.36666666666667,10.670833333333333,13.366666666666664,35.36666666666667,air
36-681,36-681,grid_search,240.0,0.2353560673127374,38.19166666666666,10.670833333333333,16.191666666666666,38.19166666666666,air
36-681,36-681,grid_search,250.0,0.2509977524837877,38.19166666666666,10.670833333333333,16.191666666666666,38.19166666666666,air
36-681,36-681,grid_search,260.0,0.2419980384503845,38.19166666666666,10.670833333333333,16.191666666666666,38.19166666666666,air
36-681,36-681,grid_search,270.0,0.2089984677456346,38.19166666666666,10.670833333333333,16.191666666666666,38.19166666666666,air
36-681,36-681,grid_search,280.0,0.2319984247668065,39.03333333333333,10.670833333333333,17.03333333333333,39.03333333333333,air
36-681,36-681,grid_search,290.0,0.2209986730550201,38.19166666666666,10.670833333333333,16.191666666666666,38.19166666666666,air
36-681,36-681,grid_search,300.0,0.2169988212959218,38.19166666666666,10.670833333333333,16.191666666666666,38.19166666666666,air
36-681,36-681,bayesian,150.0,7.023224460926056e-05,40.00421130602864,10.07201367673099,18.004211306028637,40.00421130602864,air
36-681,36-681,bayesian,160.0,4.461713588162699e-05,40.00421130602864,10.07201367673099,18.004211306028637,40.00421130602864,air
36-681,36-681,bayesian,170.0,2.938565371661262e-05,40.00421130602864,10.07201367673099,18.004211306028637,40.00421130602864,air
36-681,36-681,bayesian,180.0,2.056624091861794e-05,40.00421130602864,10.07201367673099,18.004211306028637,40.00421130602864,air
36-681,36-681,bayesian,190.0,1.839267234762389e-05,40.00421130602864,10.07201367673099,18.004211306028637,40.00421130602864,air
36-681,36-681,bayesian,200.0,0.2091681054339521,40.00421130602864,10.07201367673099,18.004211306028637,40.00421130602864,air
36-681,36-681,bayesian,210.0,0.2109944673585872,40.00421130602864,10.07201367673099,18.004211306028637,40.00421130602864,air
36-681,36-681,bayesian,220.0,0.2245770596341288,40.00421130602864,10.07201367673099,18.004211306028637,40.00421130602864,air
