lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
36-682,48-024,differential_evolution,150.0,0.2535,37.55207690197996,9.703534961233151,12.55207690197996,37.55207690197996,argon
36-682,48-024,differential_evolution,160.0,0.2465,37.69798036937074,9.70070821434444,12.69798036937074,37.69798036937074,argon
36-682,48-024,differential_evolution,170.0,0.2515,37.57957254159159,9.723236718286437,12.579572541591588,37.57957254159159,argon
36-682,48-024,differential_evolution,180.0,0.24,37.53252819820494,9.719257290505364,12.532528198204943,37.53252819820494,argon
36-682,48-024,differential_evolution,190.0,0.2435,37.50892899869115,9.700164073754832,12.508928998691148,37.50892899869115,argon
36-682,48-024,differential_evolution,200.0,0.2555,37.60219196543215,9.700840943972205,12.602191965432148,37.60219196543215,argon
36-682,48-024,differential_evolution,210.0,0.2425,37.57893119159623,9.703070234669328,12.578931191596231,37.57893119159623,argon
36-682,48-024,differential_evolution,220.0,0.245,37.59720742703662,9.700126240686346,12.597207427036622,37.59720742703662,argon
36-682,48-024,differential_evolution,230.0,0.2585,37.58511088388143,9.703197145846971,12.585110883881429,37.58511088388143,argon
36-682,48-024,differential_evolution,240.0,0.2435,37.58362957644827,9.716525275286772,12.583629576448269,37.58362957644827,argon
36-682,48-024,differential_evolution,250.0,0.2455,37.53578393980764,9.71369157399479,12.535783939807637,37.53578393980764,argon
36-682,48-024,differential_evolution,260.0,0.246,37.565517549889954,9.700299646760444,12.565517549889954,37.565517549889954,argon
36-682,48-024,differential_evolution,270.0,0.2525,37.56712024803518,9.705845190485729,12.56712024803518,37.56712024803518,argon
36-682,48-024,differential_evolution,280.0,0.244,37.55418600874187,9.713475540389714,12.554186008741873,37.55418600874187,argon
36-682,48-024,differential_evolution,290.0,0.2585,37.56219228804076,9.706185605503132,12.562192288040762,37.56219228804076,argon
36-682,48-024,differential_evolution,300.0,0.2395,37.56500317372334,9.706024791670208,12.56500317372334,37.56500317372334,argon
36-682,48-024,dual_annealing,150.0,0.2405,37.56617564622965,9.739715011287032,12.566175646229652,37.56617564622965,argon
36-682,48-024,dual_annealing,160.0,0.2335,37.65743649580272,9.810275890374648,12.65743649580272,37.65743649580272,argon
36-682,48-024,dual_annealing,170.0,0.2475,37.54937372415899,9.704115286511634,12.54937372415899,37.54937372415899,argon
36-682,48-024,dual_annealing,180.0,0.2495,37.5806527243247,9.730674751071646,12.580652724324702,37.5806527243247,argon
36-682,48-024,dual_annealing,190.0,0.231,37.66430376060316,9.821750389824832,12.664303760603158,37.66430376060316,argon
36-682,48-024,dual_annealing,200.0,0.262,37.536981943426376,9.707977611923816,12.536981943426376,37.536981943426376,argon
36-682,48-024,dual_annealing,210.0,0.2425,37.61690830010717,9.778956865610326,12.616908300107172,37.61690830010717,argon
36-682,48-024,dual_annealing,220.0,0.244,37.87183936181096,9.88437312249082,12.871839361810952,37.87183936181096,argon
