lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
36-681,36-681,differential_evolution,150.0,0.0003343266512827334,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,160.0,0.0002147564564944322,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,170.0,0.0001444432137295739,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,180.0,0.00015269104043726472,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,190.0,0.00012154473939958063,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,200.0,0.20349101385532647,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,210.0,0.22092321905347476,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,220.0,0.21840537588698306,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,230.0,0.24000751755538485,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,240.0,0.239592438934603,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,250.0,0.2449980313386963,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,260.0,0.25499813572550356,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,270.0,0.28199815056343774,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,280.0,0.2609984450626362,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,290.0,0.2709985411210678,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,differential_evolution,300.0,0.27299867024344304,34.92495976101108,10.07404507004426,12.924959761011081,34.92495976101108,air
36-681,36-681,dual_annealing,150.0,0.0003973846652686808,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,160.0,0.0002762570612643143,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,170.0,0.00020654859656522956,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,180.0,0.0001564743453729602,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,190.0,0.0001714438346916481,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,200.0,0.22775092023311008,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,210.0,0.2198637926044287,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,220.0,0.22600476632023497,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,230.0,0.24092693956857755,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,240.0,0.24056171729636858,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,250.0,0.23399812021080277,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,260.0,0.26999803670662553,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,270.0,0.26299827009134435,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,280.0,0.25799845702577645,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,290.0,0.22799877014608513,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,dual_annealing,300.0,0.24999877191892797,35.007002410179226,10.168838739067015,13.007002410179224,35.007002410179226,air
36-681,36-681,nelder_mead,150.0,0.0003459398794417993,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,160.0,0.00029969489566293806,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,170.0,0.00019292050359744133,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,180.0,0.0001878065606554372,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,190.0,0.00018976506910841604,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,200.0,0.23793509542009272,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,210.0,0.25094280222559934,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,220.0,0.24244619498625378,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,230.0,0.22728592375422024,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,240.0,0.252452189838863,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,250.0,0.23899807410478147,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,260.0,0.2419982311841801,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,270.0,0.25499833150405715,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,280.0,0.25599848464978936,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,290.0,0.2679985659091863,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,nelder_mead,300.0,0.2579987334758795,34.91435989438733,10.069445700427135,12.914359894387328,34.91435989438733,air
36-681,36-681,powell,150.0,0.00025246859433567426,34.978041309101656,10.068930711010927,12.978041309101656,34.978041309101656,air
