lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
36-681,LA4936,differential_evolution,150.0,0.0001848242541721281,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,160.0,0.00012233114076649513,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,170.0,0.0002019562102796976,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,180.0,6.214367867946258e-05,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,190.0,5.771159741390153e-05,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,200.0,0.19879208333333373,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,210.0,0.18301204972585078,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,220.0,0.2077019590850933,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,230.0,0.21235273417778666,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,240.0,0.1984449411850369,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,250.0,0.2299976319255698,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,260.0,0.21599801347466563,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,270.0,0.23399805357622133,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,280.0,0.21099842413576964,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,290.0,0.2119985597060687,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,differential_evolution,300.0,0.22799859272293124,44.01614031978536,11.127165510691961,13.916140319785356,44.01614031978536,air
36-681,LA4936,dual_annealing,150.0,0.00015599140349409457,44.08228921302887,11.251205478204403,13.982289213028867,44.08228921302887,air
36-681,LA4936,dual_annealing,160.0,0.00011953858043108768,44.08228921302887,11.251205478204403,13.982289213028867,44.08228921302887,air
36-681,LA4936,dual_annealing,170.0,0.00014652732375250397,44.08228921302887,11.251205478204403,13.982289213028867,44.08228921302887,air
36-681,LA4936,dual_annealing,180.0,7.617169188725132e-05,44.08228921302887,11.251205478204403,13.982289213028867,44.08228921302887,air
36-681,LA4936,dual_annealing,190.0,7.606788017370364e-05,44.08228921302887,11.251205478204403,13.982289213028867,44.08228921302887,air
36-681,LA4936,dual_annealing,200.0,0.19731129230481265,44.08228921302887,11.251205478204403,13.982289213028867,44.08228921302887,air
