lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
36-682,LA4002,differential_evolution,150.0,0.00010008835483398859,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,160.0,6.900170624386237e-05,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,170.0,4.9088152688247274e-05,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,180.0,3.352526373715186e-05,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,190.0,2.897053046081549e-05,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,200.0,0.22056135142249184,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,210.0,0.22009130076092878,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,220.0,0.24035858301385946,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,230.0,0.2218284910142469,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,240.0,0.2551243555755692,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,250.0,0.24999775190646464,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,260.0,0.2389980550960652,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,270.0,0.23499826991193476,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,280.0,0.22399850843306549,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,290.0,0.2539984701308896,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,differential_evolution,300.0,0.24199868088211748,38.3884146922089,9.70274252047911,13.388414692208897,38.3884146922089,air
36-682,LA4002,dual_annealing,150.0,0.00010266419477509786,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,160.0,6.821910176250794e-05,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,170.0,4.802584655676126e-05,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,180.0,3.503695864638634e-05,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,190.0,2.7390575232986055e-05,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,200.0,0.20375861024553427,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,210.0,0.22665572747226284,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,220.0,0.22699171003814267,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,230.0,0.23846688321561735,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,240.0,0.23535555733699176,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,250.0,0.24899777355892494,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,260.0,0.2509979673174711,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,270.0,0.23299829293751453,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,280.0,0.24699836304250805,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,290.0,0.2569984581912966,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,dual_annealing,300.0,0.2529986268721488,38.24267552452753,9.742292461478877,13.242675524527531,38.24267552452753,air
36-682,LA4002,nelder_mead,150.0,1.70916030084534e-05,46.14351577758788,9.705899047851595,21.143515777587883,46.14351577758788,air
36-682,LA4002,nelder_mead,160.0,1.079496268916578e-05,46.14351577758788,9.705899047851595,21.143515777587883,46.14351577758788,air
36-682,LA4002,nelder_mead,170.0,7.565691706619019e-06,46.14351577758788,9.705899047851595,21.143515777587883,46.14351577758788,air
36-682,LA4002,nelder_mead,180.0,4.795306353299611e-06,46.14351577758788,9.705899047851595,21.143515777587883,46.14351577758788,air
36-682,LA4002,nelder_mead,190.0,3.629988787114893e-06,46.14351577758788,9.705899047851595,21.143515777587883,46.14351577758788,air
36-682,LA4002,nelder_mead,200.0,0.18988544188974693,46.14351577758788,9.705899047851595,21.143515777587883,46.14351577758788,air
