lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,medium
84-277,84-277,differential_evolution,150.0,0.255,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,160.0,0.247,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,170.0,0.236,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,180.0,0.242,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,190.0,0.273,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,200.0,0.263,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,210.0,0.248,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,220.0,0.263,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,230.0,0.24,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,240.0,0.252,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,250.0,0.239,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,260.0,0.241,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,270.0,0.229,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,280.0,0.25,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,290.0,0.254,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,differential_evolution,300.0,0.238,41.910454860727555,12.120321928538448,16.910454860727555,41.910454860727555,argon
84-277,84-277,dual_annealing,150.0,0.239,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
84-277,84-277,dual_annealing,160.0,0.226,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
84-277,84-277,dual_annealing,170.0,0.237,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
84-277,84-277,dual_annealing,180.0,0.233,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
84-277,84-277,dual_annealing,190.0,0.253,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
84-277,84-277,dual_annealing,200.0,0.23,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
84-277,84-277,dual_annealing,210.0,0.237,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
84-277,84-277,dual_annealing,220.0,0.229,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
84-277,84-277,dual_annealing,230.0,0.256,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
84-277,84-277,dual_annealing,240.0,0.223,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
84-277,84-277,dual_annealing,250.0,0.229,41.899914919119084,12.14990762672955,16.89991491911908,41.899914919119084,argon
