lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,orientation,medium
49-959,36-687,differential_evolution,150.0,0.3965,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,160.0,0.3965,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,170.0,0.396,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,180.0,0.396,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,190.0,0.3955,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,200.0,0.3955,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,210.0,0.3955,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,220.0,0.3955,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,230.0,0.3955,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,240.0,0.3955,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,250.0,0.3955,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,260.0,0.3955,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,270.0,0.3955,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,280.0,0.3955,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,290.0,0.395,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,differential_evolution,300.0,0.395,30.528617584228414,13.756472051284655,20.528617584228414,56.528617584228414,SfccfF,argon
49-959,36-687,dual_annealing,150.0,0.381,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,160.0,0.381,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,170.0,0.381,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,180.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,190.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,200.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,210.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,220.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,230.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,240.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,250.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,260.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,270.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,280.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,290.0,0.3805,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,dual_annealing,300.0,0.38,30.28410630108361,13.784104984968362,20.28410630108361,56.28410630108361,SfccfF,argon
49-959,36-687,nelder_mead,150.0,0.374,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,160.0,0.378,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,170.0,0.38,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,180.0,0.384,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,190.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,200.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,210.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,220.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,230.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,240.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,250.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,260.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,270.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,280.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
49-959,36-687,nelder_mead,290.0,0.391,31.366850769370203,13.719692139537162,21.366850769370203,57.3668507693702,SfccfF,argon
