lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,orientation,medium
84-283,LA4078,differential_evolution,150.0,0.5485,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,160.0,0.554,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,170.0,0.5585,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,180.0,0.57,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,190.0,0.585,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,200.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,210.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,220.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,230.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,240.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,250.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,260.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,270.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,280.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
84-283,LA4078,differential_evolution,290.0,0.5845,117.23225393061068,35.34073161588328,42.02291844441902,117.23225393061068,SfccfF,argon
