lens1,lens2,method,wavelength_nm,coupling,total_len_mm,z_l1,z_l2,z_fiber,orientation,medium
LA4148,LA4725,differential_evolution,150.0,3.2466886386825234e-11,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,160.0,1.0415286046303722e-11,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,170.0,4.031644067956304e-12,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,180.0,2.19671564828627e-12,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,190.0,1.4390206737601573e-12,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,200.0,0.4480106288631454,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,210.0,0.5092553428521427,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,220.0,0.5572750844583482,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,230.0,0.5917544751314754,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,240.0,0.6123411590886539,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,250.0,0.6329831644570195,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,260.0,0.6329847665515547,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,270.0,0.6329862161901159,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,280.0,0.6329875278801771,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,290.0,0.6329887147487585,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,differential_evolution,300.0,0.6329897886737718,109.89344092467051,28.18528831558659,34.60952581160144,109.89344092467051,SfccfF,air
LA4148,LA4725,dual_annealing,150.0,3.672120337979949e-11,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,160.0,1.1970716691090585e-11,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,170.0,4.609741485865673e-12,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,180.0,2.522164901638356e-12,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,190.0,1.6454036249792449e-12,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,200.0,0.4642159127731887,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,210.0,0.526998573805872,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,220.0,0.5764912728892899,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,230.0,0.6120088405103308,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,240.0,0.6337091962508707,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,250.0,0.654982650621237,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,260.0,0.6549843016132074,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,270.0,0.6544858064897573,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,280.0,0.6544871571676347,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,290.0,0.6544883793139101,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,dual_annealing,300.0,0.6544894851595497,109.46336407663098,28.27274322954389,34.572771153719,109.46336407663098,SfccfF,air
LA4148,LA4725,nelder_mead,150.0,3.1011521910377046e-11,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,160.0,1.0043621144553864e-11,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,170.0,3.841538593510571e-12,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,180.0,2.0868389994269378e-12,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,190.0,1.361939321469117e-12,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,200.0,0.45159565988988876,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,210.0,0.5134569218978954,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,220.0,0.5624137869206199,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,230.0,0.5968138538019893,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,240.0,0.6181057043772824,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,250.0,0.6384829855412747,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,260.0,0.638484604661653,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,270.0,0.6374860918203287,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,280.0,0.6374874153455993,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,290.0,0.6374886129231465,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,nelder_mead,300.0,0.6374896965380534,110.09378157824968,28.17946097435775,34.79503697960468,110.09378157824968,SfccfF,air
LA4148,LA4725,powell,150.0,3.0191981128201616e-11,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,160.0,9.841895565759956e-12,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,170.0,3.737177679942584e-12,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,180.0,2.0224228840372558e-12,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,190.0,1.3255421682738532e-12,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,200.0,0.45108377825316676,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,210.0,0.5129415282494462,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,220.0,0.5619010216577301,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,230.0,0.596772173771742,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,240.0,0.6180846917193725,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,250.0,0.638482968145386,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,260.0,0.6384845889211608,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,270.0,0.6384860554632578,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,280.0,0.6384873824483127,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,290.0,0.6384885831564109,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,powell,300.0,0.6384896696039649,110.22841453487113,28.17666957243909,34.92517526944265,110.22841453487113,SfccfF,air
LA4148,LA4725,grid_search,150.0,9.088743037395392e-22,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,160.0,9.69828177430163e-23,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,170.0,1.5150448698445026e-23,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,180.0,4.404689346318798e-24,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,190.0,1.8271734838701244e-24,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,200.0,0.12196432530105765,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,210.0,0.1579394138063688,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,220.0,0.18917285759443114,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,230.0,0.21311666054629155,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,240.0,0.22844522727148664,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,250.0,0.24398711694525915,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,260.0,0.2439883429018023,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,270.0,0.24398945219822993,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,280.0,0.24399045593531415,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,290.0,0.24399136415760808,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
LA4148,LA4725,grid_search,300.0,0.2439921859539314,215.28741031001985,29.012500000000003,139.95,215.28741031001985,ScffcF,air
